PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Rogers, KG; Robinson, SJ; Samuel, MD; Grear, DA				Rogers, Kip G.; Robinson, Stacie J.; Samuel, Michael D.; Grear, Daniel A.			DIVERSITY AND DISTRIBUTION OF WHITE-TAILED DEER mtDNA LINEAGES IN CHRONIC WASTING DISEASE (CWD) OUTBREAK AREAS IN SOUTHERN WISCONSIN, USA	JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES																		Grear, Daniel/0000-0002-5478-1549													1528-7394	1087-2620					2011	74	22-24			SI		1521	1535		10.1080/15287394.2011.618980	http://dx.doi.org/10.1080/15287394.2011.618980								22043912					WOS:000298322700008
J	Carneiro, M; Blanco-Aguiar, JA; Villafuerte, R; Ferrand, N; Nachman, MW				Carneiro, Miguel; Blanco-Aguiar, Jose A.; Villafuerte, Rafael; Ferrand, Nuno; Nachman, Michael W.			SPECIATION IN THE EUROPEAN RABBIT (ORYCTOLAGUS CUNICULUS): ISLANDS OF DIFFERENTIATION ON THE X CHROMOSOME AND AUTOSOMES	EVOLUTION																	Carneiro, Miguel/L-7864-2013; Ferrand, Nuno/E-6085-2014; Blanco-Aguiar, Jose A/L-8052-2013; Villafuerte, Rafael/P-9155-2019; Villafuerte, Rafael/L-8715-2013	Carneiro, Miguel/0000-0001-9882-7775; Ferrand, Nuno/0000-0002-2408-4195; Blanco-Aguiar, Jose A/0000-0003-0041-1996; Villafuerte, Rafael/0000-0001-7582-4299; Villafuerte, Rafael/0000-0001-7582-4299													0014-3820	1558-5646				DEC	2010	64	12					3443	3460		10.1111/j.1558-5646.2010.01092.x	http://dx.doi.org/10.1111/j.1558-5646.2010.01092.x								20666840					WOS:000284850100009
J	Flanagan, JM; McMahon, G; Chia, SHB; Fitzpatrick, P; Tighe, O; O'Neill, C; Briones, P; Gort, L; Kozak, L; Magee, A; Naughten, E; Radomyska, B; Schwartz, M; Shin, JS; Strobl, WM; Tyfield, LA; Waterham, HR; Russell, H; Bertorelle, G; Reichardt, JKV; Mayne, PD; Croke, DT				Flanagan, J. M.; McMahon, G.; Chia, S. H. Brendan; Fitzpatrick, P.; Tighe, O.; O'Neill, C.; Briones, P.; Gort, L.; Kozak, L.; Magee, A.; Naughten, E.; Radomyska, B.; Schwartz, M.; Shin, J. S.; Strobl, W. M.; Tyfield, L. A.; Waterham, H. R.; Russell, H.; Bertorelle, G.; Reichardt, J. K. V.; Mayne, P. D.; Croke, D. T.			The role of human demographic history in determining the distribution and frequency of transferase-deficient galactosaemia mutations	HEREDITY																	Bertorelle, Giorgio/AAE-9078-2022; Tighe, Orna P/D-6223-2012; Flanagan, Jonathan/J-6284-2019	Gort Mas, Laura/0000-0003-4746-1034; Bertorelle, Giorgio/0000-0002-2498-2702; Tighe, Orna/0000-0003-0931-1254; Reichardt, Juergen/0000-0001-6458-2773; Croke, David/0000-0003-2718-3583													0018-067X	1365-2540				FEB	2010	104	2					148	154		10.1038/hdy.2009.84	http://dx.doi.org/10.1038/hdy.2009.84								19639008					WOS:000273802800007
J	Foster, JT; Allan, GJ; Chan, AP; Rabinowicz, PD; Ravel, J; Jackson, PJ; Keim, P				Foster, Jeffrey T.; Allan, Gerard J.; Chan, Agnes P.; Rabinowicz, Pablo D.; Ravel, Jacques; Jackson, Paul J.; Keim, Paul			Single nucleotide polymorphisms for assessing genetic diversity in castor bean (Ricinus communis)	BMC PLANT BIOLOGY																	Keim, Paul S/A-2269-2010; Ravel, Jacques/D-2530-2009	Ravel, Jacques/0000-0002-0851-2233; Chan, Agnes/0000-0003-2373-9580; Foster, Jeffrey/0000-0001-8235-8564													1471-2229					JAN 18	2010	10								13	10.1186/1471-2229-10-13	http://dx.doi.org/10.1186/1471-2229-10-13								20082707					WOS:000275401700001
J	Alberto, F; Raimondi, PT; Reed, DC; Coelho, NC; Leblois, R; Whitmer, A; Serrao, EA				Alberto, Filipe; Raimondi, Peter T.; Reed, Daniel C.; Coelho, Nelson C.; Leblois, Raphael; Whitmer, Allison; Serrao, Ester A.			Habitat continuity and geographic distance predict population genetic differentiation in giant kelp	ECOLOGY																	Serrao, Ester A/C-6686-2012; Leblois, Raphael/A-8815-2008	Serrao, Ester A/0000-0003-1316-658X; Leblois, Raphael/0000-0002-3051-4497; Coelho, Nelson/0000-0002-8331-5889													0012-9658					JAN	2010	91	1					49	56		10.1890/09-0050.1	http://dx.doi.org/10.1890/09-0050.1								20380195					WOS:000275458500009
J	Nielsen, EE; Hemmer-Hansen, J; Larsen, PF; Bekkevold, D				Nielsen, Einar E.; Hemmer-Hansen, Jakob; Larsen, Peter Foged; Bekkevold, Dorte			Population genomics of marine fishes: identifying adaptive variation in space and time	MOLECULAR ECOLOGY																	Bekkevold, Dorte/AAT-1098-2021; Nielsen, Einar/AAT-1737-2021; Hemmer-Hansen, Jakob/AAS-9070-2021	Nielsen, Einar/0000-0002-7009-9814; Hemmer-Hansen, Jakob/0000-0002-1033-2565; Bekkevold, Dorte/0000-0002-5297-032X													0962-1083	1365-294X				AUG	2009	18	15					3128	3150		10.1111/j.1365-294X.2009.04272.x	http://dx.doi.org/10.1111/j.1365-294X.2009.04272.x								19627488					WOS:000268457200003
J	Wang, J; Shete, S				Wang, Jian; Shete, Sanjay			A test for genetic association that incorporates information about deviation from Hardy-Weinberg proportions in cases	AMERICAN JOURNAL OF HUMAN GENETICS																	Wang, Jian/A-3276-2013														0002-9297					JUL	2008	83	1					53	63		10.1016/j.ajhg.2008.06.010	http://dx.doi.org/10.1016/j.ajhg.2008.06.010								18589394					WOS:000257784000007
J	Jones, KL; Krapu, GL; Brandt, DA; Ashley, MV				Jones, KL; Krapu, GL; Brandt, DA; Ashley, MV			Population genetic structure in migratory sandhill cranes and the role of Pleistocene glaciations	MOLECULAR ECOLOGY																															0962-1083					AUG	2005	14	9					2645	2657		10.1111/j.1365-294X.2005.02622.x	http://dx.doi.org/10.1111/j.1365-294X.2005.02622.x								16029467					WOS:000230573600003
J	Farjadian, S; Naruse, T; Kawata, H; Ghaderi, A; Bahram, S; Inoko, H				Farjadian, S; Naruse, T; Kawata, H; Ghaderi, A; Bahram, S; Inoko, H			Molecular analysis of HLA allele frequencies and haplotypes in Baloch of Iran compared with related populations of Pakistan	TISSUE ANTIGENS																	Ghaderi, Abbas/B-3874-2012; Farjadian, Shirin/U-4348-2017; Ghaderi, Abbas/AGY-3479-2022; Naruse, Taeko/ABA-3089-2021	Ghaderi, Abbas/0000-0003-0849-3375; Farjadian, Shirin/0000-0002-1369-8466; Bahram, Seiamak/0000-0002-6928-9952													0001-2815	1399-0039				NOV	2004	64	5					581	587		10.1111/j.1399-0039.2004.00302.x	http://dx.doi.org/10.1111/j.1399-0039.2004.00302.x								15496201					WOS:000224598100006
J	Godard, B; Marshall, J; Laberge, C; Knoppers, BM				Godard, B; Marshall, J; Laberge, C; Knoppers, BM			Strategies for Consulting with the Community: The cases of four large-scale genetic databases	SCIENCE AND ENGINEERING ETHICS																	Godard, Beatrice/N-6992-2019														1353-3452	1471-5546				JUL	2004	10	3					457	477		10.1007/s11948-004-0003-y	http://dx.doi.org/10.1007/s11948-004-0003-y								15362702					WOS:000223407100003
