PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Moreira, H; Costa, H; Tavares, F; Souto, L				Moreira, Helena; Costa, Helena; Tavares, Filipa; Souto, Luis			Genetic variation of 12 X-chromosomal STR loci in an East Timor sample	INTERNATIONAL JOURNAL OF LEGAL MEDICINE																															0937-9827	1437-1596				MAR	2015	129	2					257	258		10.1007/s00414-014-1126-6	http://dx.doi.org/10.1007/s00414-014-1126-6								25422055					WOS:000350032800005
J	Chevin, LM; Decorzent, G; Lenormand, T				Chevin, Luis-Miguel; Decorzent, Guillaume; Lenormand, Thomas			NICHE DIMENSIONALITY AND THE GENETICS OF ECOLOGICAL SPECIATION	EVOLUTION																	Lenormand, Thomas/A-5328-2012	Lenormand, Thomas/0000-0001-8930-5393; Chevin, Luis-Miguel/0000-0003-4188-4618													0014-3820	1558-5646				MAY	2014	68	5					1244	1256		10.1111/evo.12346	http://dx.doi.org/10.1111/evo.12346								24410181					WOS:000335209800002
J	Leliaert, F; Verbruggen, H; Vanormelingen, P; Steen, F; Lopez-Bautista, JM; Zuccarello, GC; De Clerck, O				Leliaert, Frederik; Verbruggen, Heroen; Vanormelingen, Pieter; Steen, Frederique; Lopez-Bautista, Juan M.; Zuccarello, Giuseppe C.; De Clerck, Olivier			DNA- based species delimitation in algae	EUROPEAN JOURNAL OF PHYCOLOGY																	De Clerck, Olivier/AAU-4295-2020; De Clerck, Olivier/ABC-2683-2020; Verbruggen, Heroen/C-6951-2009; Zuccarello, Giuseppe C./D-8323-2015; Leliaert, Frederik/A-9162-2009	De Clerck, Olivier/0000-0002-3699-8402; Steen, Frederique/0000-0001-5165-8644; Verbruggen, Heroen/0000-0002-6305-4749; Zuccarello, Giuseppe C./0000-0003-0028-7227; Leliaert, Frederik/0000-0002-4627-7318													0967-0262	1469-4433				APR 3	2014	49	2					179	196		10.1080/09670262.2014.904524	http://dx.doi.org/10.1080/09670262.2014.904524													WOS:000335942900004
S	Agata, K	Okuda, N; Watanabe, K; Fukumori, K; Nakano, SI; Nakazawa, T			Agata, Kiyokazu	Okuda, N; Watanabe, K; Fukumori, K; Nakano, SI; Nakazawa, T		Origin and Diversification of Freshwater Fishes in Lake Biwa	BIODIVERSITY IN AQUATIC SYSTEMS AND ENVIRONMENTS: LAKE BIWA	SpringerBriefs in Biology																														2192-2179		978-4-431-54149-3; 978-4-431-54150-9				2014							1	19		10.1007/978-4-431-54150-9_1	http://dx.doi.org/10.1007/978-4-431-54150-9_1	10.1007/978-4-431-54150-9												WOS:000344735500003
J	Sjoholm, L; Andersson, B; Hogberg, N; Widmark, AK; Yuen, J				Sjoholm, Lina; Andersson, Bjorn; Hogberg, Nils; Widmark, Anna-Karin; Yuen, Jonathan			Genotypic diversity and migration patterns of Phytophthora infestans in the Nordic countries	FUNGAL BIOLOGY																	Yuen, Jonathan/AAI-2035-2021	Yuen, Jonathan/0000-0003-2944-9226													1878-6146	1878-6162				OCT	2013	117	10					722	730		10.1016/j.funbio.2013.08.002	http://dx.doi.org/10.1016/j.funbio.2013.08.002								24119411					WOS:000326434000007
J	Kutsukake, N; Innan, H				Kutsukake, Nobuyuki; Innan, Hideki			SIMULATION-BASED LIKELIHOOD APPROACH FOR EVOLUTIONARY MODELS OF PHENOTYPIC TRAITS ON PHYLOGENY	EVOLUTION																		Innan, Hideki/0000-0001-6375-9231													0014-3820	1558-5646				FEB	2013	67	2					355	367		10.1111/j.1558-5646.2012.01775.x	http://dx.doi.org/10.1111/j.1558-5646.2012.01775.x								23356609					WOS:000314167400005
J	Blute, M				Blute, Marion			"Variation and selective retention" as an evolutionary epistemology: were Donald Campbell's life histories sufficient?	ISRAEL JOURNAL OF ECOLOGY & EVOLUTION																															1565-9801	2224-4662					2013	59	2			SI		109	116		10.1080/15659801.2013.836309	http://dx.doi.org/10.1080/15659801.2013.836309													WOS:000329388500007
J	Arruda, MP; Costa, WP; Silva, CC; Pimentel, SMR				Arruda, Mauricio Papa; Costa, William Pinheiro; Silva, Carla Cristina; Recco Pimentel, Shirlei Maria			Development of 22 Polymorphic Microsatellite Loci for the Critically Endangered Morato's Digger Toad, Proceratophrys moratoi	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES																		Pinheiro Costa, William/0000-0002-9436-1856; Da Silva, Carla/0000-0003-4779-0014														1422-0067				OCT	2012	13	10					12259	12267		10.3390/ijms131012259	http://dx.doi.org/10.3390/ijms131012259								23202897					WOS:000310677800009
J	Larue, BL; Ge, JY; King, JL; Budowle, B				Larue, Bobby L.; Ge, Jianye; King, Jonathan L.; Budowle, Bruce			A validation study of the Qiagen Investigator DIPplex (R) kit; an INDEL-based assay for human identification	INTERNATIONAL JOURNAL OF LEGAL MEDICINE																		Budowle, Bruce/0000-0003-4116-2930; King, Jonathan/0000-0003-4541-1789													0937-9827	1437-1596				JUL	2012	126	4					533	540		10.1007/s00414-012-0667-9	http://dx.doi.org/10.1007/s00414-012-0667-9								22249274					WOS:000305565400008
J	Singhal, S; Moritz, C				Singhal, Sonal; Moritz, Craig			STRONG SELECTION AGAINST HYBRIDS MAINTAINS A NARROW CONTACT ZONE BETWEEN MORPHOLOGICALLY CRYPTIC LINEAGES IN A RAINFOREST LIZARD	EVOLUTION																															0014-3820	1558-5646				MAY	2012	66	5					1474	1489		10.1111/j.1558-5646.2011.01539.x	http://dx.doi.org/10.1111/j.1558-5646.2011.01539.x								22519785					WOS:000303047300014
