PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Fu, YT; Jin, YC; Liu, GH				Fu, Yi-Tian; Jin, Yuan-Chun; Liu, Guo-Hua			The Complete Mitochondrial Genome of the Caecal Fluke of Poultry, Postharmostomum commutatum, as the First Representative from the Superfamily Brachylaimoidea	FRONTIERS IN GENETICS																																1664-8021				OCT 25	2019	10								1037	10.3389/fgene.2019.01037	http://dx.doi.org/10.3389/fgene.2019.01037								31708971					WOS:000497446100001
J	Zou, YC; Zhang, JY; Wen, ZY; Qin, CJ; Wang, YM; Li, R; Qi, ZM				Zou, Yuanchao; Zhang, Junying; Wen, Zhengyong; Qin, Chuanjie; Wang, Yongming; Li, Rui; Qi, Zemin			The complete mitochondrial genome of the hybrid of Acipenser dabryanus (female) x A. schrenckii (male) and its phylogeny	CONSERVATION GENETICS RESOURCES																	Wen, Zheng-Yong/I-2968-2016	Wen, Zheng-Yong/0000-0002-6198-5793													1877-7252	1877-7260				DEC	2018	10	4					881	884		10.1007/s12686-017-0887-x	http://dx.doi.org/10.1007/s12686-017-0887-x													WOS:000456651300065
J	Carriere, Y; Williams, JL; Crowder, DW; Tabashnik, BE				Carriere, Yves; Williams, Jennifer L.; Crowder, David W.; Tabashnik, Bruce E.			Genotype-specific fitness cost of resistance to Bt toxin Cry1Ac in pink bollworm	PEST MANAGEMENT SCIENCE																		Crowder, David/0000-0002-3720-1581													1526-498X	1526-4998				NOV	2018	74	11					2496	2503		10.1002/ps.4928	http://dx.doi.org/10.1002/ps.4928								29604164					WOS:000446996500014
J	Marchini, GL; Arredondo, TM; Cruzan, MB				Marchini, Gina L.; Arredondo, Tina M.; Cruzan, Mitchell B.			Selective differentiation during the colonization and establishment of a newly invasive species	JOURNAL OF EVOLUTIONARY BIOLOGY																															1010-061X	1420-9101				NOV	2018	31	11					1689	1703		10.1111/jeb.13369	http://dx.doi.org/10.1111/jeb.13369								30120791					WOS:000451783400009
J	Macova, A; Hoblikova, A; Hypsa, V; Stanko, M; Martinu, J; Kvicerova, J				Macova, Anna; Hoblikova, Aneta; Hypsa, Vaclav; Stanko, Michal; Martinu, Jana; Kvicerova, Jana			Mysteries of host switching: Diversification and host specificity in rodent-coccidia associations	MOLECULAR PHYLOGENETICS AND EVOLUTION																	Martinu, Jana/AAE-4006-2021; Hypša, Václav/ABA-1503-2021; Kvičerová, Jana/Q-9577-2018; Hypsa, Vaclav/G-9847-2014; Stanko, Michal/AAN-6099-2020	Hypša, Václav/0000-0001-5572-782X; Kvičerová, Jana/0000-0001-8370-3008; Stanko, Michal/0000-0002-9917-2421; Macova, Anna/0000-0002-5834-029X													1055-7903	1095-9513				OCT	2018	127						179	189		10.1016/j.ympev.2018.05.009	http://dx.doi.org/10.1016/j.ympev.2018.05.009								29753710					WOS:000446021300015
J	Fujito, NT; Satta, Y; Hayakawa, T; Takahata, N				Fujito, Naoko T.; Satta, Yoko; Hayakawa, Toshiyuki; Takahata, Naoyuki			A new inference method for detecting an ongoing selective sweep	GENES & GENETIC SYSTEMS																		Satta, Yoko/0000-0002-5305-493X													1341-7568	1880-5779				AUG	2018	93	4					149	161		10.1266/ggs.18-00008	http://dx.doi.org/10.1266/ggs.18-00008								30270233					WOS:000457817000004
J	Aristizabal, A; Tuberquia, DJ; Sanin, MJ				Aristizabal, Arturo; Tuberquia, Dino J.; Jose Sanin, Maria			Conservation Genetics of Two Highly Endangered and Poorly Known Species of Zamia (Zamiaceae: Cycadales) in Colombia	JOURNAL OF HEREDITY																		Sanin, Maria Jose/0000-0001-7211-5913; Tuberquia Munoz, Dino Jesus/0000-0001-7846-0099; Aristizabal, Arturo/0000-0003-1814-1752													0022-1503	1465-7333				JUN	2018	109	4					438	445		10.1093/jhered/esx110	http://dx.doi.org/10.1093/jhered/esx110								29206927					WOS:000432311600009
J	Lobo, A; Hansen, OK; Hansen, JK; Erichsen, EO; Jacobsen, B; Kjaer, ED				Lobo, Albin; Hansen, Ole Kim; Hansen, Jon Kehlet; Erichsen, Eva Ortvald; Jacobsen, Birgitte; Kjaer, Erik Dahl			Local adaptation through genetic differentiation in highly fragmented Tilia cordata populations	ECOLOGY AND EVOLUTION																	Lobo, Albin/B-6910-2015; Kjaer, Erik D/D-6534-2017; Hansen, Ole K/M-9249-2016; Hansen, Jon/A-6582-2015	Lobo, Albin/0000-0002-9580-2860; Kjaer, Erik D/0000-0001-8624-1611; Hansen, Ole K/0000-0001-6646-1262; Hansen, Jon/0000-0002-1260-3509; Ortvald Erichsen, Eva/0000-0003-4271-7600													2045-7758					JUN	2018	8	12					5968	5976		10.1002/ece3.4131	http://dx.doi.org/10.1002/ece3.4131								29988427					WOS:000436799100001
J	Ordinola-Zapata, A; Vieyra-Pena, EG; Ramirez-Segura, BE; Saavedra-Olivos, KY				Ordinola-Zapata, Alberto; Vieyra-Pena, Enedia G.; Ramirez-Segura, Beder E.; Saavedra-Olivos, Katherine Y.			Genetic Diversity of Ucides occidentalis (Ortmann 1897) (Crustacea: Decapoda: Brachiura) based on 16S rRNA gene in Tumbes, Peru	SCIENTIA AGROPECUARIA																	Ordinola-Zapata, Alberto/P-8191-2018	Ordinola-Zapata, Alberto/0000-0002-9644-0531; Ramirez Segura, Beder Esmith/0000-0001-8842-9693; SAAVEDRA OLIVOS, KATHERINE YULIANA/0000-0003-2508-6501													2077-9917	2306-6741				APR-JUN	2018	9	2					259	267		10.17268/sci.agropecu.2018.02.11	http://dx.doi.org/10.17268/sci.agropecu.2018.02.11													WOS:000441611900011
J	de Campos, MP; Costa, HA; da Silva, CV; Bogas, V; Ribeiro, T; Porto, MJ; Amorim, A				de Campos, Marta Proenca; Costa, Heloisa Afonso; da Silva, Claudia Vieira; Bogas, Vanessa; Ribeiro, Teresa; Porto, Maria Joao; Amorim, Antonio			The immigrant population from Mozambique in Lisbon: Updated mitochondrial DNA portrait	FORENSIC SCIENCE INTERNATIONAL GENETICS SUPPLEMENT SERIES																	SILVA, CLAUDIA VIEIRA/ABA-9324-2021; Costa, Heloísa Afonso/J-5725-2015; Amorim, António/A-4414-2013	SILVA, CLAUDIA VIEIRA/0000-0003-0373-7457; Costa, Heloísa Afonso/0000-0002-7823-7687; Amorim, António/0000-0002-7506-4426													1875-1768	1875-175X				DEC	2017	6						E298	E300		10.1016/j.fsigss.2017.09.134	http://dx.doi.org/10.1016/j.fsigss.2017.09.134													WOS:000419302500115
