PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Torres, RA; dos Santos, FA; Andrade, FRS; Gondolo, GF; Lessa, RPR				Torres, Rodrigo A.; dos Santos, Filipe Alberto; Andrade, Flavia R. S.; Gondolo, Guilherme F.; Lessa, Rosangela P. R.			Disentangling the controversial identity of the halfbeak stock (Hemiramphus brasiliensis and H. balao) from northeastern Brazil using multilocus DNA markers	REVIEWS IN FISH BIOLOGY AND FISHERIES																	Torres, Rodrigo/E-2881-2010; LESSA, ROSANGELA PAULA TEIXEIRA/D-5043-2013	Lessa, Rosangela/0000-0002-9217-1215													0960-3166	1573-5184				JUN	2015	25	2					379	394		10.1007/s11160-015-9381-2	http://dx.doi.org/10.1007/s11160-015-9381-2													WOS:000354409300006
J	Mager, KH; Colson, KE; Hundertmark, KJ				Mager, Karen H.; Colson, Kevin E.; Hundertmark, Kris J.			High genetic connectivity and introgression from domestic reindeer characterize northern Alaska caribou herds	CONSERVATION GENETICS																		Hundertmark, Kris/0000-0001-7337-4116; Colson, Kassidy/0000-0002-0050-5709													1566-0621	1572-9737				DEC	2013	14	6					1111	1123		10.1007/s10592-013-0499-2	http://dx.doi.org/10.1007/s10592-013-0499-2													WOS:000326632600001
J	Witzenberger, KA; Hochkirch, A				Witzenberger, K. A.; Hochkirch, A.			Genetic consequences of animal translocations: A case study using the field cricket, Gryllus campestris L.	BIOLOGICAL CONSERVATION																	Hochkirch, Axel/E-7891-2011; Hochkirch, Axel/A-4092-2008	Hochkirch, Axel/0000-0002-4475-0394													0006-3207	1873-2917				DEC	2008	141	12					3059	3068		10.1016/j.biocon.2008.09.017	http://dx.doi.org/10.1016/j.biocon.2008.09.017													WOS:000261574900014
J	Ding, C; Brouard, JS				Ding, Chen; Brouard, Jean S.			Assisted migration is plausible for a boreal tree species under climate change: A quantitative and population genetics study of trembling aspen (Populus tremuloides Michx.) in western Canada	ECOLOGY AND EVOLUTION																															2045-7758					OCT	2022	12	10							e9384	10.1002/ece3.9384	http://dx.doi.org/10.1002/ece3.9384								36225831					WOS:000863941200001
J	Hutter, CR; Cobb, KA; Portik, DM; Travers, SL; Wood, PL; Brown, RM				Hutter, Carl R.; Cobb, Kerry A.; Portik, Daniel M.; Travers, Scott L.; Wood, Perry L., Jr.; Brown, Rafe M.			FrogCap: A modular sequence capture probe-set for phylogenomics and population genetics for all frogs, assessed across multiple phylogenetic scales	MOLECULAR ECOLOGY RESOURCES																		Wood, Perry/0000-0003-3767-5274; Hutter, Carl/0000-0001-6381-6339													1755-098X	1755-0998				APR	2022	22	3					1100	1119		10.1111/1755-0998.13517	http://dx.doi.org/10.1111/1755-0998.13517		OCT 2021						34569723					WOS:000706286800001
J	Colston-Nepali, L; Provencher, JF; Mallory, ML; Franckowiak, RP; Sun, ZX; Robertson, GJ; Friesen, VL				Colston-Nepali, Lila; Provencher, Jennifer F.; Mallory, Mark L.; Franckowiak, Ryan P.; Sun, Zhengxin; Robertson, Gregory J.; Friesen, Vicki L.			Using genomic tools to inform management of the Atlantic northern fulmar	CONSERVATION GENETICS																	Provencher, Jennifer F/J-2839-2016; Franckowiak, Ryan/AAR-6001-2021	Provencher, Jennifer F/0000-0002-4972-2034; Franckowiak, Ryan/0000-0002-0454-4860; Robertson, Greg/0000-0001-8452-5506; Colston-Nepali, Lila/0000-0003-2787-4210													1566-0621	1572-9737				DEC	2020	21	6					1037	1050		10.1007/s10592-020-01309-y	http://dx.doi.org/10.1007/s10592-020-01309-y		AUG 2020											WOS:000564484900001
J	Portela, RM; Tambarussi, EV; de Aguiar, AV; Gandara, FB; Peres, FSB; Rosa, JRBF				Portela, Renan Marcelo; Tambarussi, Evandro Vagner; de Aguiar, Ananda Virginia; Gandara, Flavio B.; Peres, Fabiana Schmidt Bandeira; Rosa, Joao Ricardo Bachega Feijo			Using a coalescent approach to assess gene flow and effective population size of Acrocomia aculeata (Jacq.) Lodd. Ex Mart. in the Brazilian Atlantic Forest	TREE GENETICS & GENOMES																	Rosa, João R Bachega F/H-3822-2011; Tambarussi, Evandro V/E-5695-2016; Aguiar, Ananda/ABC-7381-2020	Rosa, João R Bachega F/0000-0002-9584-1691; Tambarussi, Evandro V/0000-0001-9478-5379; Schmidt Bandeira Peres, Fabiana/0000-0001-8139-8417													1614-2942	1614-2950				MAR 23	2020	16	2							35	10.1007/s11295-020-1426-6	http://dx.doi.org/10.1007/s11295-020-1426-6													WOS:000520959500001
S	Haudry, A; Laurent, S; Kapun, M		Dutheil, JY		Haudry, Annabelle; Laurent, Stefan; Kapun, Martin			Population Genomics on the Fly: Recent Advances in Drosophila	STATISTICAL POPULATION GENOMICS	Methods in Molecular Biology																Kapun, Martin/GVT-4278-2022	Kapun, Martin/0000-0002-3810-0504													1064-3745	1940-6029	978-1-0716-0199-0; 978-1-0716-0198-3				2020	2090						357	396		10.1007/978-1-0716-0199-0_15	http://dx.doi.org/10.1007/978-1-0716-0199-0_15	10.1007/978-1-0716-0199-0							31975175					WOS:000674787600016
J	Mao, H; Wang, X; Fan, Y; Cheng, D; Chen, K; Liu, S; Xi, S; Wan, L; Li, X; Ren, J				Mao, H.; Wang, X.; Fan, Y.; Cheng, D.; Chen, K.; Liu, S.; Xi, S.; Wan, L.; Li, X.; Ren, J.			Whole-genome SNP data unravel population structure and signatures of selection for black plumage of indigenous chicken breeds from Jiangxi province, China	ANIMAL GENETICS																	Ren, Jun/H-9793-2019														0268-9146	1365-2052				OCT	2019	50	5					475	483		10.1111/age.12827	http://dx.doi.org/10.1111/age.12827		JUL 2019						31305959					WOS:000476147300001
J	Sun, JT; Duan, XZ; Hoffmann, AA; Liu, Y; Garvin, MR; Chen, L; Hu, G; Zhou, JC; Huang, HD; Xue, XF; Hong, XY				Sun, Jing-Tao; Duan, Xing-Zhi; Hoffmann, Ary A.; Liu, Yan; Garvin, Michael R.; Chen, Lei; Hu, Gao; Zhou, Jin-Cheng; Huang, Hai-Dian; Xue, Xiao-Feng; Hong, Xiao-Yue			Mitochondrial variation in small brown planthoppers linked to multiple traits and probably reflecting a complex evolutionary trajectory	MOLECULAR ECOLOGY																	Hong, Xiao-Yue/AAF-4759-2020; Hoffmann, Ary/R-2972-2019; Zhou, Jincheng/ABC-8749-2020	Hoffmann, Ary/0000-0001-9497-7645; Hu, Gao/0000-0002-1000-5687; Sun, Jing-Tao/0000-0002-8263-7210													0962-1083	1365-294X				JUL	2019	28	14					3306	3323		10.1111/mec.15148	http://dx.doi.org/10.1111/mec.15148		JUL 2019						31183910					WOS:000474062200001
