PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gildenhuys, P				Gildenhuys, Peter			Arbitrariness and Causation in Classical Population Genetics	BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE																															0007-0882	1464-3537				SEP	2014	65	3					429	444		10.1093/bjps/axs042	http://dx.doi.org/10.1093/bjps/axs042													WOS:000345835400001
J	Innan, H; Sakamoto, T				Innan, Hideki; Sakamoto, Takahiro			Multi-dimensional diffusion process of allele frequencies in population genetics	PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES																		Innan, Hideki/0000-0001-6375-9231													0386-2208	1349-2896				MAR	2021	97	3					134	143		10.2183/pjab.97.008	http://dx.doi.org/10.2183/pjab.97.008								33692229					WOS:000631766500003
J	Greely, HT				Greely, HT			Informed consent and other ethical issues in human population genetics	ANNUAL REVIEW OF GENETICS																															0066-4197						2001	35						785	800		10.1146/annurev.genet.35.102401.091453	http://dx.doi.org/10.1146/annurev.genet.35.102401.091453								11700299					WOS:000172991500025
J	Agrawal, AA				Agrawal, AA			Community genetics: New insights into community ecology by integrating population genetics	ECOLOGY																	Agrawal, Anurag A/Y-2497-2019	Agrawal, Anurag A/0000-0003-0095-1220													0012-9658					MAR	2003	84	3					543	544		10.1890/0012-9658(2003)084[0543:CGNIIC]2.0.CO;2	http://dx.doi.org/10.1890/0012-9658(2003)084[0543:CGNIIC]2.0.CO;2													WOS:000181629500001
J	Ye, QS; Tang, AP				Ye, QS; Tang, AP			Population genetics for three STR loci in the population from southern China	JOURNAL OF FORENSIC SCIENCES																															0022-1198	1556-4029				NOV	2004	49	6					1370	1370											15568719					WOS:000224908500036
J	Roubik, DW; Weigt, LA; Bonilla, MA				Roubik, DW; Weigt, LA; Bonilla, MA			Population genetics, diploid males, and limits to social evolution of euglossine bees	EVOLUTION																															0014-3820					APR	1996	50	2					931	935		10.2307/2410866	http://dx.doi.org/10.2307/2410866								28568926					WOS:A1996UJ15600043
J	Zhang, WJ; Wu, J; Jia, ZJ; Zhou, XP; Li, YB; Yan, J; Ying, BW; Zhang, J; Hou, YP				Zhang, WJ; Wu, J; Jia, ZJ; Zhou, XP; Li, YB; Yan, J; Ying, BW; Zhang, J; Hou, YP			Population genetics of two STR loci D2S1396 and D6S474 in a Chinese population	JOURNAL OF FORENSIC SCIENCES																	Hou, Yiping/H-9232-2018	Hou, Yiping/0000-0003-4254-2388													0022-1198	1556-4029				MAR	2004	49	2					415	415											15042998					WOS:000189353400047
J	Zhang, WJ; Li, YB; Zhou, XP; Jia, ZJ; Gao, YZ; Yan, J; Wu, J; Zhang, J; Hou, YP				Zhang, WJ; Li, YB; Zhou, XP; Jia, ZJ; Gao, YZ; Yan, J; Wu, J; Zhang, J; Hou, YP			Population genetics of two STR loci D4S2366 and D6S1281 in a Chinese population	JOURNAL OF FORENSIC SCIENCES																	Hou, Yiping/H-9232-2018	Hou, Yiping/0000-0003-4254-2388													0022-1198	1556-4029				JAN	2004	49	1					183	183											14979373					WOS:000187956500038
J	Nuin, PAS				Nuin, PAS			WinPop 2.5: Software for representing population genetics phenomena	BRIEFINGS IN BIOINFORMATICS																															1467-5463					DEC	2005	6	4					390	393		10.1093/bib/6.4.390	http://dx.doi.org/10.1093/bib/6.4.390								16420737					WOS:000234592900009
J	Sun, XM; Fang, YQ; Yun, LB; Ying, BW; Shi, MS; Zhang, J; Li, YB; Wu, J; Hou, YP				Sun, XM; Fang, YQ; Yun, LB; Ying, BW; Shi, MS; Zhang, J; Li, YB; Wu, J; Hou, YP			Population genetics of two STR loci D13S796 and DYS439 in a Chinese Han population	JOURNAL OF FORENSIC SCIENCES																	Ying, Binwu/AAB-5934-2022; Hou, Yiping/H-9232-2018	Hou, Yiping/0000-0003-4254-2388													0022-1198	1556-4029				MAR	2005	50	2					475	475											15813563					WOS:000227488900030
J	Sun, XM; Fang, YQ; Yun, LB; Bai, P; Li, ZR; Zhang, J; Li, YB; Wu, J; Hou, YP				Sun, XM; Fang, YQ; Yun, LB; Bai, P; Li, ZR; Zhang, J; Li, YB; Wu, J; Hou, YP			Population genetics of two STR loci D2S1346 and D2S1353 in a Han population of Chinese	JOURNAL OF FORENSIC SCIENCES																	Hou, Yiping/H-9232-2018	Hou, Yiping/0000-0003-4254-2388													0022-1198	1556-4029				MAY	2006	51	3					705	705		10.1111/j.1556-4029.2006.00146.x	http://dx.doi.org/10.1111/j.1556-4029.2006.00146.x								16696732					WOS:000237395500043
J	Zhu, BF; Shen, CM; Gong, ZZ; Zhu, J; Yang, G; Wu, HY; Li, XS; He, YF; Zhao, J; Liu, Y				Zhu, BF; Shen, CM; Gong, ZZ; Zhu, J; Yang, G; Wu, HY; Li, XS; He, YF; Zhao, J; Liu, Y			Population genetics for Y-STRs haplotypes of Chinese Ewenki ethnic minority group	JOURNAL OF FORENSIC SCIENCES																	Yang, Guang/A-2142-2010	Shen, Chun mei/0000-0003-2039-0838													0022-1198					JUL	2005	50	4					969	971											16078515					WOS:000230061800043
J	Pimentel, BJ; de Azevedo, DA; da Silva, LAF				Pimentel, BJ; de Azevedo, DA; da Silva, LAF			Population genetics of eleven STIR loci in the State of Sergipe, Northeastern Brazil	JOURNAL OF FORENSIC SCIENCES																															0022-1198					MAR	2004	49	2					402	403											15027571					WOS:000189353400040
J	Dominguez, C; Heras, J; Mata, E; Pascual, V; Vazquez-Garciduenas, MS; Vazquez-Marrufo, G				Dominguez, Cesar; Heras, Jonathan; Mata, Eloy; Pascual, Vico; Vazquez-Garciduenas, Maria Soledad; Vazquez-Marrufo, Gerardo			Extending GelJ for interoperability: Filling the gap in the bioinformatics resources for population genetics analysis with dominant markers	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE																	Marrufo, Gerardo Vázquez-/ENE-8739-2022; Marrufo, Gerardo Vázquez-/AEN-6859-2022; Mata, Eloy Javier/R-1974-2019; Heras, Jónathan/K-2857-2014; Mata, Eloy J/K-4300-2017; Domínguez, César/K-7619-2014; Heras, Jónathan/N-1633-2019	Marrufo, Gerardo Vázquez-/0000-0003-4683-699X; Marrufo, Gerardo Vázquez-/0000-0003-4683-699X; Mata, Eloy Javier/0000-0003-0538-4579; Heras, Jónathan/0000-0003-4775-1306; Mata, Eloy J/0000-0003-0538-4579; Domínguez, César/0000-0002-2081-7523; Heras, Jónathan/0000-0003-4775-1306													0169-2607	1872-7565				MAR	2017	140						69	76		10.1016/j.cmpb.2016.12.001	http://dx.doi.org/10.1016/j.cmpb.2016.12.001								28254092					WOS:000397074300009
J	Elettreby, MF				Elettreby, MF			Sato-Crutchfield equation for population genetics	INTERNATIONAL JOURNAL OF MODERN PHYSICS C																															0129-1831	1793-6586				MAY	2005	16	5					717	726		10.1142/S0129183105007431	http://dx.doi.org/10.1142/S0129183105007431													WOS:000231154700003
J	Huang, J; Fan, H; Li, H; Jiang, F; Ying, BW				Huang, J; Fan, H; Li, H; Jiang, F; Ying, BW			Population genetics for five STR loci in Tibetan group of Chinese population	JOURNAL OF FORENSIC SCIENCES																	Ying, Binwu/AAB-5934-2022														0022-1198	1556-4029				MAY	2006	51	3					697	698		10.1111/j.1556-4029.2006.00141.x	http://dx.doi.org/10.1111/j.1556-4029.2006.00141.x								16696728					WOS:000237395500039
J	Shahid, R; Hanif, MK; Brewer, W; Talib, R; Hayat, O				Shahid, Rabia; Hanif, Muhammad Kashif; Brewer, Wesley; Talib, Ramzan; Hayat, Omar			INCORPORATING POPULATION GENETICS SIMULATORS IN SCIENTIFIC PLATFORM FOR CLOUD	JOURNAL OF ANIMAL AND PLANT SCIENCES																	Hanif, Muhammad Kashif/ABD-2778-2020	Hanif, Muhammad Kashif/0000-0001-5150-2228													1018-7081					DEC	2018	28	6					1868	1880																WOS:000450417000039
J	HAUSER, L; BEAUMONT, AR; MARSHALL, GTH; WYATT, RJ				HAUSER, L; BEAUMONT, AR; MARSHALL, GTH; WYATT, RJ			EFFECTS OF SEA TROUT STOCKING ON THE POPULATION-GENETICS OF LANDLOCKED BROWN TROUT, SALMO-TRUTTA L, IN THE CONWY RIVER SYSTEM, NORTH WALES, UK	JOURNAL OF FISH BIOLOGY					SYMP ON BIOCHEMICAL GENETICS AND TAXONOMY OF FISH	JUL 22-26, 1991	UNIV BELFAST, BELFAST, NORTH IRELAND	FISHERIES SOC BRIT ISLES	UNIV BELFAST								Hauser, Lorenz/E-4365-2010														0022-1112					DEC	1991	39			A			109	116		10.1111/j.1095-8649.1991.tb05074.x	http://dx.doi.org/10.1111/j.1095-8649.1991.tb05074.x													WOS:A1991GY18500012
J	Song, XH; Bai, P; Tian, L; Yun, LB; Yuan, WA; Ying, BW; Zhang, J; Li, YB; Wu, J; Hou, YP				Song, XH; Bai, P; Tian, L; Yun, LB; Yuan, WA; Ying, BW; Zhang, J; Li, YB; Wu, J; Hou, YP			Population genetics of three 3STR loci D19S591, D5S1462 and D3S2432 in a Chinese Han population	JOURNAL OF FORENSIC SCIENCES																	Hou, Yiping/H-9232-2018; yuan, Wan/D-7675-2017; Ying, Binwu/AAB-5934-2022	Hou, Yiping/0000-0003-4254-2388; 													0022-1198	1556-4029				JUL	2005	50	4					958	958											16078510					WOS:000230061800038
B	Weir, B		Lin, S; Zhao, H		Weir, Bruce			Population Genetics	HANDBOOK ON ANALYZING HUMAN GENETIC DATA: COMPUTATIONAL APPROACHES AND SOFTWARE																	Weir, Bruce S/A-2894-2013																978-3-540-69263-8				2010							1	23		10.1007/978-3-540-69264-5_1	http://dx.doi.org/10.1007/978-3-540-69264-5_1													WOS:000273538700001
J	FRY, WE; GOODWIN, SB; MATUSZAK, JM; SPIELMAN, LJ; MILGROOM, MG; DRENTH, A				FRY, WE; GOODWIN, SB; MATUSZAK, JM; SPIELMAN, LJ; MILGROOM, MG; DRENTH, A			POPULATION-GENETICS AND INTERCONTINENTAL MIGRATIONS OF PHYTOPHTHORA-INFESTANS	ANNUAL REVIEW OF PHYTOPATHOLOGY																	Drenth, Andre/A-4915-2008; Goodwin, Steve/ABB-1862-2021	Drenth, Andre/0000-0002-8510-1534; 													0066-4286	1545-2107					1992	30						107	129		10.1146/annurev.py.30.090192.000543	http://dx.doi.org/10.1146/annurev.py.30.090192.000543													WOS:A1992JM36200007
J	Zhong, XM; Peng, JG; Shen, QS; Chen, JY; Gao, H; Luan, XK; Yan, SY; Huang, X; Zhang, SJ; Xu, LY; Zhang, XQ; Tan, BCM; Li, CY				Zhong, Xiaoming; Peng, Jiguang; Shen, Qing Sunny; Chen, Jia-Yu; Gao, Han; Luan, Xuke; Yan, Shouyu; Huang, Xin; Zhang, Shi-Jian; Xu, Luying; Zhang, Xiuqin; Tan, Bertrand Chin-Ming; Li, Chuan-Yun			RhesusBase PopGateway: Genome-Wide Population Genetics Atlas in Rhesus Macaque	MOLECULAR BIOLOGY AND EVOLUTION																	Chen, Jia-Yu/J-6798-2013	Chen, Jia-Yu/0000-0001-9449-9321; Zhang, Xiuqin/0000-0001-8692-7146; Shen, Qing/0000-0002-3768-3162; Luan, Xuke/0000-0002-4397-613X; Tan, Bertrand/0000-0002-2218-7115; peng, Jiguang/0000-0002-3113-113X; Li, Chuan-Yun/0000-0002-8008-8430													0737-4038	1537-1719				MAY	2016	33	5					1370	1375		10.1093/molbev/msw025	http://dx.doi.org/10.1093/molbev/msw025								26882984					WOS:000374834900020
J	Zeyl, C				Zeyl, C			Budding yeast as a model organism for population genetics	YEAST																															0749-503X					JUN 15	2000	16	8					773	784		10.1002/1097-0061(20000615)16:8<773::AID-YEA599>3.0.CO;2-1	http://dx.doi.org/10.1002/1097-0061(20000615)16:8<773::AID-YEA599>3.0.CO;2-1								10861902					WOS:000087677600004
J	Glymour, B				Glymour, Bruce			Wayward modeling: Population genetics and natural selection	PHILOSOPHY OF SCIENCE																															0031-8248					OCT	2006	73	4					369	389		10.1086/516805	http://dx.doi.org/10.1086/516805													WOS:000247954500001
J	Amin, MA; Hanif, MK; Sarwar, MU; Abbas, M; Jilani, MH; Nasir, U; Sarwar, MB; Talha, HM				Amin, Muhammad Arslan; Hanif, Muhammad Kashif; Sarwar, Muhammad Umer; Abbas, Mohsin; Jilani, Muhammad Haroon; Nasir, Usman; Sarwar, Muhammad Bilal; Talha, Hafiz Muhammad			Comparative Study of Machine Learning Techniques for Population Genetics	INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY																	Hanif, Muhammad Kashif/ABD-2778-2020	Hanif, Muhammad Kashif/0000-0001-5150-2228													1738-7906					JUN 30	2019	19	6					78	84																WOS:000482742300010
J	Casillas, S; Barbadilla, A				Casillas, Sonia; Barbadilla, Antonio			Molecular Population Genetics	GENETICS																	B, Antonio/AAF-4060-2019; Barbadilla, Antonio/A-6915-2017; Casillas, Sònia/I-5442-2014	B, Antonio/0000-0002-0374-1475; Barbadilla, Antonio/0000-0002-0374-1475; Casillas, Sònia/0000-0001-8191-0062													0016-6731	1943-2631				MAR	2017	205	3					1003	1035		10.1534/genetics.116.196493	http://dx.doi.org/10.1534/genetics.116.196493								28270526					WOS:000395807200001
J	Sanchez, D; Gonzalez-Andrade, F; Martinez-Jarreta, B				Sanchez, D; Gonzalez-Andrade, F; Martinez-Jarreta, B			Population genetics of 12 STIR loci in a sample of mestizos from Ecuador (South America)	JOURNAL OF FORENSIC SCIENCES																	Martinez-Jarreta, Begona/AAE-5805-2020; González-Andrade, Fabricio/I-6132-2018	Martinez-Jarreta, Begona/0000-0001-6469-9189; González-Andrade, Fabricio/0000-0002-2091-9095													0022-1198	1556-4029				MAR	2003	48	2					453	454											12665017					WOS:000181290100037
J	Rees, DC				Rees, DC			The population genetics of factor V Leiden (Arg 506 Gln)	BRITISH JOURNAL OF HAEMATOLOGY																	Rees, David/B-6789-2011	Rees, David/0000-0003-3647-1050													0007-1048					DEC	1996	95	4					579	586		10.1046/j.1365-2141.1996.d01-1954.x	http://dx.doi.org/10.1046/j.1365-2141.1996.d01-1954.x								8982030					WOS:A1996VZ75300001
J	Wakeley, J				Wakeley, John			Developments in coalescent theory from single loci to chromosomes	THEORETICAL POPULATION BIOLOGY																															0040-5809	1096-0325				JUN	2020	133						56	64		10.1016/j.tpb.2020.02.002	http://dx.doi.org/10.1016/j.tpb.2020.02.002								32145225					WOS:000537422000018
J	Diaz-Papkovich, A; Anderson-Trocme, L; Gravel, S				Diaz-Papkovich, Alex; Anderson-Trocme, Luke; Gravel, Simon			A review of UMAP in population genetics	JOURNAL OF HUMAN GENETICS																															1434-5161	1435-232X				JAN	2021	66	1					85	91		10.1038/s10038-020-00851-4	http://dx.doi.org/10.1038/s10038-020-00851-4		OCT 2020						33057159					WOS:000577222700001
J	Jombart, T				Jombart, Thibaut			adegenet: a R package for the multivariate analysis of genetic markers	BIOINFORMATICS																	Hypsa, Vaclav/G-9847-2014														1367-4803	1460-2059				JUN 1	2008	24	11					1403	1405		10.1093/bioinformatics/btn129	http://dx.doi.org/10.1093/bioinformatics/btn129								18397895					WOS:000256169300015
B	Souto, L		CorteReal, F; Vieira, DN		Souto, Luis			SOME CONCEPTS OF POPULATION GENETICS WITH RELEVANCE IN FORENSIC GENETICS	PRINCIPIOS DE GENETICA FORENSE																																	978-989-26-0957-7; 978-989-26-0956-0				2015							123	142				10.14195/978-989-26-0957-7												WOS:000397948700007
J	Lin, GJ; Yuan, R				Lin, Guojian; Yuan, Rong			Travelling waves for the population genetics model with delay	ANZIAM JOURNAL																															1446-1811	1446-8735				JUL	2006	48		1				57	71		10.1017/S1446181100003412	http://dx.doi.org/10.1017/S1446181100003412													WOS:000241339200005
J	Trevors, JT				Trevors, JT			Bacterial population genetics	WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY																															0959-3993					JAN	1998	14	1					1	5																WOS:000071535500001
J	Kretschmer, H; Gupta, BM				Kretschmer, H; Gupta, BM			Collaboration patterns in theoretical population genetics	SCIENTOMETRICS																															0138-9130					NOV-DEC	1998	43	3					455	462		10.1007/BF02457409	http://dx.doi.org/10.1007/BF02457409													WOS:000077553600008
B	Ruse, M		Ruse, M		Ruse, Michael			Population Genetics	CAMBRIDGE ENCYCLOPEDIA OF DARWIN AND EVOLUTIONARY THOUGHT																																	978-0-521-19531-7				2013							273	281				10.1017/CBO9781139026895												WOS:000337679800035
J	CHARLESWORTH, B				CHARLESWORTH, B			POPULATION-GENETICS	NATURE																															0028-0836						1983	303	5920					748	748		10.1038/303748a0	http://dx.doi.org/10.1038/303748a0													WOS:A1983QW59900019
J	CROW, JF				CROW, JF			POPULATION GENETICS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297	1537-6605					1961	13	1					137	+											13696658					WOS:A19612959A00004
J	Brookfield, J				Brookfield, J			Population genetics	CURRENT BIOLOGY																															0960-9822					APR 1	1996	6	4					354	356		10.1016/S0960-9822(02)00493-1	http://dx.doi.org/10.1016/S0960-9822(02)00493-1								8723330					WOS:A1996UH68400007
S	Jost, J	Jost, J			Jost, Juergen	Jost, J		Population Genetics	MATHEMATICAL METHODS IN BIOLOGY AND NEUROBIOLOGY	Universitext																														0172-5939		978-1-4471-6353-4; 978-1-4471-6352-7				2014							199	215		10.1007/978-1-4471-6353-4_6	http://dx.doi.org/10.1007/978-1-4471-6353-4_6	10.1007/978-1-4471-6353-4												WOS:000344919900007
J	HOROWITZ, NH				HOROWITZ, NH			POPULATION GENETICS	ANNALS OF MATHEMATICAL STATISTICS																															0003-4851						1947	18	3					459	459																WOS:A1947UM00400023
J	THODAY, JM				THODAY, JM			POPULATION GENETICS	NATURE																															0028-0836						1956	178	4538					843	844		10.1038/178843a0	http://dx.doi.org/10.1038/178843a0													WOS:A1956ZQ47800011
J	LEWONTIN, RC				LEWONTIN, RC			POPULATION GENETICS	ANNUAL REVIEW OF GENETICS																															0066-4197	1545-2948					1973	7						1	17		10.1146/annurev.ge.07.120173.000245	http://dx.doi.org/10.1146/annurev.ge.07.120173.000245								4593304					WOS:A1973R892400001
J	Nordborg, M; Innan, H				Nordborg, M; Innan, H			Molecular population genetics	CURRENT OPINION IN PLANT BIOLOGY																	Merrick, Mark/E-3667-2011; Cordova, Mitchell L/K-9250-2013	Merrick, Mark/0000-0003-0729-6388; Nordborg, Magnus/0000-0001-7178-9748; Innan, Hideki/0000-0001-6375-9231													1369-5266					FEB	2002	5	1					69	73		10.1016/S1369-5266(01)00230-8	http://dx.doi.org/10.1016/S1369-5266(01)00230-8								11788311					WOS:000172934300011
J	PROVINE, WB				PROVINE, WB			POPULATION-GENETICS	BULLETIN OF MATHEMATICAL BIOLOGY					MEETING TO CELEBRATE THE 50TH ANNIVERSARY OF THE BULLETIN OF MATHEMATICAL BIOLOGY AND THE 40TH ANNIVERSARY OF PERGAMON PRESS : CLASSICS OF THEORETICAL BIOLOGY	JUL   05, 1988	OXFORD, ENGLAND	SOC MATH BIOL																							0092-8240						1990	52	1-2					201	207		10.1016/S0092-8240(05)80009-6	http://dx.doi.org/10.1016/S0092-8240(05)80009-6													WOS:A1990DC78200008
J	SUTTER, J				SUTTER, J			POPULATION-GENETICS	POPULATION																															0032-4663						1965	20	6					1018	1024		10.2307/1528723	http://dx.doi.org/10.2307/1528723													WOS:A1965CLD8100012
J	FISHER, R				FISHER, R			POPULATION GENETICS	PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES																															0080-4649						1953	141	905					510	523		10.1098/rspb.1953.0058	http://dx.doi.org/10.1098/rspb.1953.0058								13100409					WOS:A1953UJ63900007
B	Millstein, RL; Skipper, RA		Hull, DL; Ruse, M		Millstein, Roberta L.; Skipper, Robert A., Jr.			Population Genetics	CAMBRIDGE COMPANION TO THE PHILOSOPHY OF BIOLOGY	Cambridge Companions to Philosophy																	Skipper, Robert/0000-0003-0183-8705; Millstein, Roberta L/0000-0002-6493-6428															978-0-52185-128-2				2007							22	43																WOS:000296458500003
J	Winstanley, C; Morgan, JAW				Winstanley, C; Morgan, JAW			The bacterial flagellin gene as a biomarker for detection, population genetics and epidemiological analysis	MICROBIOLOGY-SGM																		Winstanley, Craig/0000-0002-2662-8053													1350-0872					OCT	1997	143		10				3071	3084		10.1099/00221287-143-10-3071	http://dx.doi.org/10.1099/00221287-143-10-3071								9353913					WOS:A1997YB28800001
J	Croll, D; Corradi, N; Gamper, HA; Sanders, IR				Croll, Daniel; Corradi, Nicolas; Gamper, Hannes A.; Sanders, Ian R.			Multilocus genotyping of arbuscular mycorrhizal fungi and marker suitability for population genetics	NEW PHYTOLOGIST																	Sanders, Ian R/T-9988-2017; Croll, Daniel/B-4933-2008; Croll, Daniel/AAD-6695-2020; Gamper, Hannes A./N-4937-2017; Croll, Daniel/C-1661-2018	Sanders, Ian R/0000-0002-9591-8214; Croll, Daniel/0000-0002-2072-380X; Gamper, Hannes A./0000-0002-8185-3472; Croll, Daniel/0000-0002-2072-380X; Corradi, Nicolas/0000-0002-7932-7932													0028-646X						2008	180	3					564	568		10.1111/j.1469-8137.2008.02602.x	http://dx.doi.org/10.1111/j.1469-8137.2008.02602.x								18684159					WOS:000260105000004
B	Kokko, H	Kokko, H			Kokko, Hanna	Kokko, H		Population genetics	MODELLING FOR FIELD BIOLOGISTS AND OTHER INTERESTING PEOPLE																																	978-0-521-83132-1				2007							13	38				10.1017/CBO9780511811388												WOS:000297214700003
J	Johnson, NA; Porter, AH				Johnson, NA; Porter, AH			Toward a new synthesis: population genetics and evolutionary developmental biology	GENETICA																															0016-6707	1573-6857				NOV	2001	112						45	58		10.1023/A:1013371201773	http://dx.doi.org/10.1023/A:1013371201773								11838782					WOS:000173029400004
J	LEWONTIN, RC				LEWONTIN, RC			POPULATION-GENETICS	ANNUAL REVIEW OF GENETICS																															0066-4197	1545-2948					1985	19						81	102		10.1146/annurev.ge.19.120185.000501	http://dx.doi.org/10.1146/annurev.ge.19.120185.000501								3002243					WOS:A1985AWM4700004
J	Gordon, DM				Gordon, DM			Geographical structure and host specificity in bacteria and the implications for tracing the source of coliform contamination	MICROBIOLOGY-SGM																	Gordon, David/N-1395-2019; Gordon, David M/C-9298-2009	Gordon, David/0000-0002-2880-3003; 													1350-0872					MAY	2001	147		5				1079	1085		10.1099/00221287-147-5-1079	http://dx.doi.org/10.1099/00221287-147-5-1079								11320111					WOS:000168513600001
