PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Wang, JL				Wang, Jinliang			Pedigrees or markers: Which are better in estimating relatedness and inbreeding coefficient?	THEORETICAL POPULATION BIOLOGY																															0040-5809	1096-0325				FEB	2016	107				SI		4	13		10.1016/j.tpb.2015.08.006	http://dx.doi.org/10.1016/j.tpb.2015.08.006								26344786					WOS:000368317900002
J	Rice, BL; Acosta, MM; Pacheco, MA; Escalante, AA				Rice, Benjamin L.; Acosta, Monica M.; Pacheco, Maria Andreina; Escalante, Ananias A.			Merozoite surface protein-3 alpha as a genetic marker for epidemiologic studies in Plasmodium vivax: a cautionary note	MALARIA JOURNAL																		Pacheco, Maria Andreina/0000-0002-5682-7299; Escalante, Ananias/0000-0002-1532-3430														1475-2875				AUG 21	2013	12								288	10.1186/1475-2875-12-288	http://dx.doi.org/10.1186/1475-2875-12-288								23964962					WOS:000323509800002
J	Ruiz-Garcia, M; Leguizamon, N; Vasquez, C; Rodriguez, K; Castillo, MI				Ruiz-Garcia, Manuel; Leguizamon, Norberto; Vasquez, Catalina; Rodriguez, Karen; Ignacia Castillo, Maria			Genetic methods for the reintroduction of primates Saguinus, Anita and Cebus (Primates: Cebidae) seized in Bogota, Colombia	REVISTA DE BIOLOGIA TROPICAL																	Rodriguez, Karen/AAD-6370-2019; Ruiz-Garcia, Manuel/AAF-8191-2019	Rodriguez, Karen/0000-0002-0333-6402; Ruiz-Garcia, Manuel/0000-0003-2820-2950													0034-7744	2215-2075				SEP	2010	58	3					1049	1067											20737854					WOS:000281071900017
J	Stothard, JR; Bremond, P; Andriamaro, L; Loxton, NJ; Sellin, B; Sellin, E; Rollinson, D				Stothard, JR; Bremond, P; Andriamaro, L; Loxton, NJ; Sellin, B; Sellin, E; Rollinson, D			Molecular characterization of the freshwater snail Lymnaea natalensis (Gastropoda : Lymnaeidae) on Madagascar with an observation of an unusual polymorphism in ribosomal small subunit genes	JOURNAL OF ZOOLOGY																	Stothard, Russell/I-9717-2016; Stothard, John Russell/AAK-4829-2021; Rollinson, David/C-7406-2009	Stothard, Russell/0000-0002-9370-3420; Stothard, John Russell/0000-0002-9370-3420; 													0952-8369	1469-7998				NOV	2000	252		3				303	315		10.1111/j.1469-7998.2000.tb00625.x	http://dx.doi.org/10.1111/j.1469-7998.2000.tb00625.x													WOS:000165318600004
J	Soriano, JM; Sansaloni, C; Ammar, K; Royo, C				Soriano, Jose Miguel; Sansaloni, Carolina; Ammar, Karim; Royo, Conxita			Labelling Selective Sweeps Used in Durum Wheat Breeding from a Diverse and Structured Panel of Landraces and Cultivars	BIOLOGY-BASEL																	Soriano Soriano, Jose Miguel/E-7894-2018; Royo, Conxita/J-3362-2017	Soriano Soriano, Jose Miguel/0000-0003-1965-6504; Sansaloni, Carolina/0000-0003-2675-4524; Royo, Conxita/0000-0001-7939-1451														2079-7737				APR	2021	10	4							258	10.3390/biology10040258	http://dx.doi.org/10.3390/biology10040258								33805192					WOS:000642726100001
J	Jawdat, D; Uyar, FA; Alaskar, A; Muller, CR; Hajeer, A				Jawdat, Dunia; Uyar, F. Aytul; Alaskar, Ahmed; Muller, Carlheinz R.; Hajeer, Ali			HLA-A, -B, -C,-DRB1,-DQB1, and-DPB1 Allele and Haplotype Frequencies of 28,927 Saudi Stem Cell Donors Typed by Next-Generation Sequencing	FRONTIERS IN IMMUNOLOGY																	Hajeer, Ali/L-4189-2019; Müller, Carlheinz/ABB-2501-2021	Hajeer, Ali/0000-0003-2727-9964; Müller, Carlheinz/0000-0002-5359-9606													1664-3224					OCT 22	2020	11								544768	10.3389/fimmu.2020.544768	http://dx.doi.org/10.3389/fimmu.2020.544768								33193311					WOS:000585486700001
J	Halachev, M; Meynert, A; Taylor, MS; Vitart, V; Kerr, SM; Klaric, L; Aitman, TJ; Haley, CS; Prendergast, JG; Pugh, C; Hume, DA; Harris, SE; Liewald, DC; Deary, IJ; Semple, CA; Wilson, JF; Biankin, AV; Cooke, SL; Humphrey, WI; Martin, S; Mennie, L; Meynert, A; Miedzybrodzka, Z; Murphy, F; Nourse, C; Santoyo-Lopez, J; Semple, CA; Williams, N				Halachev, Mihail; Meynert, Alison; Taylor, Martin S.; Vitart, Veronique; Kerr, Shona M.; Klaric, Lucija; Aitman, Timothy J.; Haley, Chris S.; Prendergast, James G.; Pugh, Carys; Hume, David A.; Harris, Sarah E.; Liewald, David C.; Deary, Ian J.; Semple, Colin A.; Wilson, James F.; Biankin, Andrew V.; Cooke, Susanna L.; Humphrey, Wendy Inglis; Martin, Sancha; Mennie, Lynne; Meynert, Alison; Miedzybrodzka, Zosia; Murphy, Fiona; Nourse, Craig; Santoyo-Lopez, Javier; Semple, Colin A.; Williams, Nicola		S G P Consortium	Increased ultra-rare variant load in an isolated Scottish population impacts exonic and regulatory regions	PLOS GENETICS																	Santoyo-Lopez, Javier/AHE-5002-2022; Klaric, Lucija/ABE-1863-2020; Wilson, James F/A-5704-2009; Taylor, Martin S/C-3825-2009; Santoyo-Lopez, Javier/C-9714-2012; Harris, Sarah/ABE-6976-2020; Semple, Colin A M/A-5613-2009	Santoyo-Lopez, Javier/0000-0003-1988-5059; Wilson, James F/0000-0001-5751-9178; Taylor, Martin S/0000-0001-7656-330X; Santoyo-Lopez, Javier/0000-0003-1988-5059; Harris, Sarah/0000-0002-4941-5106; Semple, Colin A M/0000-0003-1765-4118; Aitman, Timothy/0000-0002-7875-4502; Halachev, Mihail/0000-0002-4594-4588; Klaric, Lucija/0000-0003-3105-8929; Hume, David/0000-0002-2615-1478; Prendergast, James/0000-0001-8916-018X													1553-7404					NOV	2019	15	11							e1008480	10.1371/journal.pgen.1008480	http://dx.doi.org/10.1371/journal.pgen.1008480								31765389					WOS:000500997800015
J	Ibanez-Justicia, A; Gloria-Soria, A; den Hartog, W; Dik, M; Jacobs, F; Stroo, A				Ibanez-Justicia, A.; Gloria-Soria, A.; den Hartog, W.; Dik, M.; Jacobs, F.; Stroo, A.			The first detected airline introductions of yellow fever mosquitoes (Aedes aegypti) to Europe, at Schiphol International airport, the Netherlands	PARASITES & VECTORS																	Gloria-Soria, Andrea/AAJ-3304-2020; Gloria-Soria, Andrea/GWU-7676-2022	Gloria-Soria, Andrea/0000-0002-5401-3988; 													1756-3305					DEC 8	2017	10								603	10.1186/s13071-017-2555-0	http://dx.doi.org/10.1186/s13071-017-2555-0								29221490					WOS:000417502800002
J	Schrieber, K; Lachmuth, S				Schrieber, Karin; Lachmuth, Susanne			The Genetic Paradox of Invasions revisited: the potential role of inbreeding x environment interactions in invasion success	BIOLOGICAL REVIEWS																	Lachmuth, Susanne/H-8066-2019; Schrieber, Karin/ABD-1544-2021	Lachmuth, Susanne/0000-0002-4027-7632; Schrieber, Karin/0000-0001-7181-2741													1464-7931	1469-185X				MAY	2017	92	2					939	952		10.1111/brv.12263	http://dx.doi.org/10.1111/brv.12263								27009691					WOS:000398567200017
J	Sepulveda, FA; Gonzalez, MT				Sepulveda, Fabiola A.; Teresa Gonzalez, M.			Patterns of genetic variation and life history traits of Zeuxapta seriolae infesting Seriola lalandi across the coastal and oceanic areas in the southeastern Pacific Ocean: potential implications for aquaculture	PARASITES & VECTORS																		Sepulveda, Fabiola/0000-0002-7876-7231													1756-3305					MAY 22	2015	8								282	10.1186/s13071-015-0892-4	http://dx.doi.org/10.1186/s13071-015-0892-4								25994495					WOS:000354915300001
