PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	DiFazio, SP				DiFazio, SP			A pioneer perspective on adaptation	NEW PHYTOLOGIST																		DiFazio, Stephen/0000-0003-4077-1590													0028-646X	1469-8137				MAR	2005	165	3					661	664		10.1111/j.1469-8137.2005.01334.x	http://dx.doi.org/10.1111/j.1469-8137.2005.01334.x								15720678					WOS:000227229800003
J	Shiff, C; Brouwer, KC; Clow, L				Shiff, C; Brouwer, KC; Clow, L			Schistosoma haematobium: Population genetics of S-haematobium by direct measurement of parasite diversity using RAPD +/- PCR	EXPERIMENTAL PARASITOLOGY																															0014-4894	1090-2449				SEP	2000	96	1					47	51		10.1006/expr.2000.4548	http://dx.doi.org/10.1006/expr.2000.4548								11038320					WOS:000089978400007
J	Bai, P; Li, YB; Zhou, XP; Yan, J; Tian, L; Sun, XM; Yun, LB; Zhang, J; Hou, YP; Wu, J				Bai, P; Li, YB; Zhou, XP; Yan, J; Tian, L; Sun, XM; Yun, LB; Zhang, J; Hou, YP; Wu, J			Allele frequencies for three STR loci D2S2952, D3S1744, D12S1294 in Chinese population	JOURNAL OF FORENSIC SCIENCES																	Hou, Yiping/H-9232-2018	Hou, Yiping/0000-0003-4254-2388													0022-1198	1556-4029				MAR	2005	50	2					476	476											15813564					WOS:000227488900031
J	Vecchiotti, C; Spaltro, G; Boninfante, B; Di Nunno, N				Vecchiotti, C; Spaltro, G; Boninfante, B; Di Nunno, N			Distribution of D3S1358, D21S11, FGA, vWA alleles in a central Italian population sample	JOURNAL OF FORENSIC SCIENCES																	Di Nunno, Nunzio/L-6907-2015	Di Nunno, Nunzio/0000-0001-9409-1369													0022-1198					JUL	2003	48	4					896	897											12877317					WOS:000183935600037
J	Huang, DX; Zhu, CH; Jiang, H; Yin, H; Zhai, XD; Yang, QG				Huang, DX; Zhu, CH; Jiang, H; Yin, H; Zhai, XD; Yang, QG			Haplotype distribution of the multi-copy Y-STR loci DYS385, DYS459 and DYS464 in Chinese Han population	JOURNAL OF FORENSIC SCIENCES																															0022-1198					NOV	2005	50	6					1517	1520											16382864					WOS:000233217200048
J	KIRPICHNIKOV, VS; MUSKE, GA; SCHOLLENGBERTS, AD				KIRPICHNIKOV, VS; MUSKE, GA; SCHOLLENGBERTS, AD			POPULATION-GENETICS OF KAMCHATKA SALMON GENUS ONCORHYNCHUS .1. FREQUENCY DYNAMICS OF THE ALLELES OF LACTATE-DEHYDROGENASE (LDH) AND PHOSPHOGLUCOMUTASE (PGM) LOCI IN SOCKEYE-SALMON (O-NERKA (WALB)) OF THE DALNEYE LAKE	GENETIKA																															0016-6758						1987	23	7					1299	1310																WOS:A1987J451200020
J	Katoh, M; Hashimoto, K				Katoh, M; Hashimoto, K			Genetic similarity of outbreak populations of crown-of-thorns starfish (Acanthaster planci) that were 15 years apart in Okinawa, Japan	CORAL REEFS																															0722-4028	1432-0975				JUL	2003	22	2					178	180		10.1007/s00338-003-0293-6	http://dx.doi.org/10.1007/s00338-003-0293-6													WOS:000184019500013
J	Carl, S; Heikkila, S				Carl, S; Heikkila, S			Elliptic equations with discontinuous nonlinearities in R-N	NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS																															0362-546X					JAN	1998	31	1-2					217	227		10.1016/S0362-546X(96)00307-0	http://dx.doi.org/10.1016/S0362-546X(96)00307-0													WOS:000071036400016
J	Brown, SC; Sheth, KN; Falcone, GJ				Brown, Stacy C.; Sheth, Kevin N.; Falcone, Guido J.			Anticoagulation after intracerebral hemorrhage: a perfect clinical scenario for genetics-based precision medicine	PHARMACOGENOMICS																															1462-2416	1744-8042				APR	2020	21	5					307	309		10.2217/pgs-2019-0181	http://dx.doi.org/10.2217/pgs-2019-0181								32238090					WOS:000539318400001
J	Park, SJ; Woo, KM; Oh, HH; Kim, SH; Lee, SH				Park, SJ; Woo, KM; Oh, HH; Kim, SH; Lee, SH			Population data of the 25 STR loci in Koreans	JOURNAL OF FORENSIC SCIENCES																															0022-1198					MAY	2005	50	3					710	712											15932114					WOS:000228818800038
