PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	FITZHARDINGE, R				FITZHARDINGE, R			A DIFFERENT PERSPECTIVE ON CORAL POPULATION-GENETICS	NATURE			English	Letter									UNIV HAWAII,DEPT ZOOL,HONOLULU,HI 96822		FITZHARDINGE, R (corresponding author), UNIV HAWAII,HAWAII INST MARINE BIOL,2538 MALL,HONOLULU,HI 96822, USA.								10	0	0	0	1	MACMILLAN MAGAZINES LTD	LONDON	PORTERS SOUTH, 4 CRINAN ST, LONDON, ENGLAND N1 9XW	0028-0836			NATURE	Nature	FEB 26	1987	325	6107					765	765		10.1038/325765b0	http://dx.doi.org/10.1038/325765b0			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	G1864					2022-10-18	WOS:A1987G186400032
J	Starger, CJ; Yeoh, SSR; Dai, CF; BakerO, AC; Desalle, R				Starger, Craig J.; Yeoh, Sean S. R.; Dai, Chang-Feng; BakerO, Andrew C.; Desalle, Rob			Ten polymorphic STR loci in the cosmopolitan reef coral, Pocillopora damicornis	MOLECULAR ECOLOGY RESOURCES			English	Article						connectivity; coral reef; gene flow; microsatellite; population genetics; Scleractinia	MICROSATELLITES; DNA	We report the development of 10 polymorphic molecular markers containing short tandem repeats in the cosmopolitan reef-building coral, Pocillopora damicornis, an important model species for coral health, physiology, ecology, and genetics. The availability of polymorphic DNA markers in P. damicornis can act as impetus for investigations into inheritance and population genetics, as well as novel investigations into host-symbiont ecology and evolution. Coral bleaching and gene flow studies performed with these markers can have direct conservation implications.	[Starger, Craig J.; BakerO, Andrew C.] Columbia Univ, Dept Ecol Evolut & Environm Biol, New York, NY 10027 USA; [Yeoh, Sean S. R.; Dai, Chang-Feng] Natl Taiwan Univ, Inst Oceanol, Div Marine Biol & Fisheries, Taipei 10617, Taiwan; [BakerO, Andrew C.] Univ Miami, Rosenstiel Sch Marine & Atmospher Sci, Div Marine Biol & Fisheries, Miami, FL 33149 USA; [Desalle, Rob] Amer Museum Nat Hist, Inst Comparat Genom, New York, NY 10024 USA		Starger, CJ (corresponding author), Columbia Univ, Dept Ecol Evolut & Environm Biol, MC 5557,1200 Amsterdam Ave, New York, NY 10027 USA.	cjs52@columbia.edu		Starger, Craig/0000-0003-2444-6632; Baker, Andrew/0000-0002-7866-2587; DAI, CHANG-FENG/0000-0003-2242-5643					10	29	30	0	14	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1755-098X	1755-0998		MOL ECOL RESOUR	Mol. Ecol. Resour.	MAY	2008	8	3					619	621		10.1111/j.1471-8286.2007.02017.x	http://dx.doi.org/10.1111/j.1471-8286.2007.02017.x			3	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	285XU	21585850	Green Published			2022-10-18	WOS:000254810300027
J	HUBER, ME				HUBER, ME			POPULATION-GENETICS OF 8 SPECIES OF TRAPEZIA (BRACHYURA, XANTHIDAE), SYMBIONTS OF CORALS	MARINE BIOLOGY			English	Article											HUBER, ME (corresponding author), SCRIPPS INST OCEANOG,A-002,LA JOLLA,CA 92037, USA.								78	37	38	0	8	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0025-3162			MAR BIOL	Mar. Biol.		1985	85	1					23	36		10.1007/BF00396411	http://dx.doi.org/10.1007/BF00396411			14	Marine & Freshwater Biology	Science Citation Index Expanded (SCI-EXPANDED)	Marine & Freshwater Biology	AJR43					2022-10-18	WOS:A1985AJR4300003
J	Andras, JP; Rypien, KL				Andras, Jason P.; Rypien, Krystal L.			Isolation and characterization of microsatellite loci in the Caribbean sea fan coral, Gorgonia ventalina	MOLECULAR ECOLOGY RESOURCES			English	Article						Gorgonia ventalina; gorgonian coral; microsatellite; Octocorallia; population genetics	DISEASE	Here we report primers for 10 microsatellite loci from the Caribbean sea fan coral, Gorgonia ventalina. Primers were tested on 237 genomic DNA extracts taken directly from tissue samples of G. ventalina. All loci were polymorphic with allelic richness ranging from 4 to 52. Expected heterozygosity ranged from 0.14 to 0.96. Preliminary data suggest that these microsatellites will be useful tools for studies of the population genetics of this important Caribbean coral species.	[Andras, Jason P.] Cornell Univ, Dept Ecol & Evolutionary Biol, Ithaca, NY 14853 USA; [Rypien, Krystal L.] Univ Calif San Diego, Scripps Inst Oceanog, Div Marine Biol Res, La Jolla, CA 92093 USA		Andras, JP (corresponding author), Cornell Univ, Dept Ecol & Evolutionary Biol, Dale R Corson Hall, Ithaca, NY 14853 USA.	jpa24@cornell.edu			National Science Foundation [OCE-0326705]; Theresa Heinz Scholars for Environmental Research; Andrew W. Mellon Foundation	National Science Foundation(National Science Foundation (NSF)); Theresa Heinz Scholars for Environmental Research; Andrew W. Mellon Foundation	This work was funded by a National Science Foundation grant to C.D. Harvell (EEID Program OCE-0326705), an NSF Graduate Research Fellowship (J.P.A.), and research grants from the Theresa Heinz Scholars for Environmental Research (J.P.A.), and the Andrew W. Mellon Foundation (J.P.A.). We thank Steve Bogdanowicz for invaluable technical assistance in the development of the microsatellite library. All molecular work was conducted in the Evolutionary Genetics Core Facility at Cornell University.		12	3	3	1	7	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1755-098X	1755-0998		MOL ECOL RESOUR	Mol. Ecol. Resour.	MAY	2009	9	3					1036	1038		10.1111/j.1755-0998.2009.02548.x	http://dx.doi.org/10.1111/j.1755-0998.2009.02548.x			3	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	443GC	21564831				2022-10-18	WOS:000265897200107
J	Gutierrez-Rodriguez, C; Hannes, AR; Lasker, HR				Gutierrez-Rodriguez, C; Hannes, AR; Lasker, HR			Microsatellite variation reveals high levels of genetic variability and population structure in the gorgonian coral Pseudopterogorgia elisabethae across the Bahamas (vol 13, pg 2211, 2004)	MOLECULAR ECOLOGY			English	Correction						conservation; gene flow; gorgonian coral; microsatellites; population genetics; Pseudopterogorgia elisabethae			SUNY Buffalo, Dept Biol Sci, Buffalo, NY 14260 USA		Gutierrez-Rodriguez, C (corresponding author), Inst Ecol, Dept Evolut Biol, AC Apdo Postal 63,Km 2-5 Antigua Carretera Coatep, Xalapa 91070, Veracruz, Mexico.	carla@ecologia.edu.mx	Gutiérrez-Rodríguez, Carla/E-1559-2015	Gutiérrez-Rodríguez, Carla/0000-0002-7142-4164; Lasker, Howard/0000-0002-5280-0742					3	7	8	0	5	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0962-1083	1365-294X		MOL ECOL	Mol. Ecol.	NOV	2005	14	13					4205	4206		10.1111/j.1365-294X.2005.02712.x	http://dx.doi.org/10.1111/j.1365-294X.2005.02712.x			2	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	977AE					2022-10-18	WOS:000232774000024
B	Nakajima, Y		Iguchi, A; Hongo, C		Nakajima, Yuichi			Population Genetics of Corals in Japan	CORAL REEF STUDIES OF JAPAN	Coral Reefs of the World		English	Article; Book Chapter						Coral recovery; Clonality; DNA marker; Genetic diversity; Genetic structure; Population connectivity; Species diversity	BROADCAST-SPAWNING CORAL; REEF-BUILDING CORAL; GREAT-BARRIER-REEF; MAXIMUM-LIKELIHOOD-ESTIMATION; BROODING CORAL; SEASCAPE GENETICS; MIGRATION RATES; POCILLOPORA-DAMICORNIS; MICROSATELLITE MARKERS; STYLOPHORA-PISTILLATA	Understanding how coral populations are established and maintained is important to predict how coral reef ecosystems will respond to future conditions. Population genetic analyses using DNA markers have provided useful information on how coral populations are maintained. In this chapter, I briefly introduce the history of using DNA markers in the population genetic analyses of corals. I also explain the merit of population genetic analyses to delineate the species boundaries of corals and infer how reproductive characteristics contribute to connectivity among populations. Based on previous studies on population genetic analyses of corals, I also discuss how population genetic analyses have contributed toward understanding the patterns of connectivity among coral populations and geographic variations in genetic diversity, primarily focusing on examples along the Ryukyu Archipelago. Finally, I propose future directions for the population genetics of corals in Japan, taking several aspects into consideration, including methodological information, such as seascape genetics and the development of novel molecular markers for utilizing next-generation sequencing technologies.	[Nakajima, Yuichi] Okinawa Inst Sci & Technol Grad Univ, Onna, Okinawa 9040495, Japan		Nakajima, Y (corresponding author), Okinawa Inst Sci & Technol Grad Univ, Onna, Okinawa 9040495, Japan.	yuichi.nakajima@oist.jp							99	0	0	0	7	SPRINGER	DORDRECHT	PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS			978-981-10-6473-9; 978-981-10-6471-5	CORAL REEFS WORLD			2018	13						111	123		10.1007/978-981-10-6473-9_8	http://dx.doi.org/10.1007/978-981-10-6473-9_8	10.1007/978-981-10-6473-9		13	Marine & Freshwater Biology	Book Citation Index – Science (BKCI-S)	Marine & Freshwater Biology	BK7NT					2022-10-18	WOS:000441814900008
B	Munroe, TA		Gibson, RN		Munroe, Thomas A.			Distributions and biogeography	FLATFISHES: BIOLOGY AND EXPLOITATION			English	Article; Book Chapter							CORAL-REEF FISHES; GOMEZ SUBMARINE RIDGE; EASTERN PACIFIC-OCEAN; INDO-WEST PACIFIC; POPULATION-GENETICS; TONGUEFISH PLEURONECTIFORMES; HISTORICAL BIOGEOGRAPHY; NEW-CALEDONIA; CYNOGLOSSIDAE; FLATFISHES		Natl Museum Nat Hist, NMFS NOAA, Natl Marine Fisheries Serv, Natl Systemat Lab, Washington, DC 20560 USA		Munroe, TA (corresponding author), Natl Museum Nat Hist, NMFS NOAA, Natl Marine Fisheries Serv, Natl Systemat Lab, Washington, DC 20560 USA.	munroe.thomas@nmnh.si.edu							83	7	8	0	3	BLACKWELL SCIENCE PUBL	OXFORD	OSNEY MEAD, OXFORD OX2 0EL, ENGLAND			978-0-470-99525-9				2005							42	67		10.1002/9780470995259.ch3	http://dx.doi.org/10.1002/9780470995259.ch3	10.1002/9780470995259		26	Fisheries; Marine & Freshwater Biology	Book Citation Index – Science (BKCI-S)	Fisheries; Marine & Freshwater Biology	BYB49					2022-10-18	WOS:000297818000005
J	Katoh, M; Hashimoto, K				Katoh, M; Hashimoto, K			Genetic similarity of outbreak populations of crown-of-thorns starfish (Acanthaster planci) that were 15 years apart in Okinawa, Japan	CORAL REEFS			English	Article						population genetics; coral reefs; protein electrophoresis; allozymes	GREAT-BARRIER-REEF; REGION		Fisheries Res Agcy, Ishigaki Trop Stn, Seikai Natl Fisheries Res Inst, Okinawa 9070451, Japan		Katoh, M (corresponding author), Fisheries Res Agcy, Ishigaki Trop Stn, Seikai Natl Fisheries Res Inst, 148 446 Fukai Ohta, Okinawa 9070451, Japan.	mkatoh@fra.affrc.go.jp							10	5	5	0	9	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0722-4028	1432-0975		CORAL REEFS	Coral Reefs	JUL	2003	22	2					178	180		10.1007/s00338-003-0293-6	http://dx.doi.org/10.1007/s00338-003-0293-6			3	Marine & Freshwater Biology	Science Citation Index Expanded (SCI-EXPANDED)	Marine & Freshwater Biology	698VF					2022-10-18	WOS:000184019500013
J	Pierrat, J; Libaud, N; Magalon, H; Oury, N				Pierrat, Josephine; Libaud, Noa; Magalon, Helene; Oury, Nicolas			Isolation and characterization of 24 microsatellite loci from one of the most widespread sea cucumber Holothuria (Mertensiothuria) leucospilota (Echinodermata, Holothuroidea)	CONSERVATION GENETICS RESOURCES			English	Article; Early Access						Coral reefs; Holothuria (Mertensiothuria) leucospilota; Holothurians; Microsatellites; Population genetics; Sea cucumbers			[Pierrat, Josephine; Libaud, Noa; Magalon, Helene; Oury, Nicolas] Univ Reun, Univ Nouvelle Caledonie, Univ Reun, CNRS,UMR ENTROPIE, 97744 St Denis,CS 92003, F-97744 Bd Rene Cassin 09, France; [Magalon, Helene; Oury, Nicolas] Lab Cogitamus, Paris, France; [Magalon, Helene] Lab Excellence Corail, Perpignan, France		Oury, N (corresponding author), Univ Reun, Univ Nouvelle Caledonie, Univ Reun, CNRS,UMR ENTROPIE, 97744 St Denis,CS 92003, F-97744 Bd Rene Cassin 09, France.; Oury, N (corresponding author), Lab Cogitamus, Paris, France.	nicolasoury@hotmail.fr	OURY, Nicolas/AAF-2834-2019	OURY, Nicolas/0000-0002-5386-4633; Magalon, Helene/0000-0002-7061-955X	European Union [GURDTI/20181812-0002045]; French Government; European Union; Reunion Island Regional Council; program HOLIEPOP - Consortium Iles Eparses; Doctoral School 'Sciences, Technologies, Sante' of Reunion Island University	European Union(European Commission); French Government; European Union(European Commission); Reunion Island Regional Council; program HOLIEPOP - Consortium Iles Eparses; Doctoral School 'Sciences, Technologies, Sante' of Reunion Island University	This publication is a contribution to the project 'Ecosystemes marins, No GURDTI/20181812-0002045', which is co-funded by the European Union, the Reunion Island Regional Council and the French Government. This study was also supported by the program HOLIEPOP financed by the Consortium Iles Eparses. JP is funded by a doctoral fellowship from Reunion Island Regional Council. NO is supported by a PhD contract from the Doctoral School `Sciences, Technologies, Sante' of Reunion Island University.		6	0	0	4	4	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1877-7252	1877-7260		CONSERV GENET RESOUR	Conserv. Genet. Resour.												10.1007/s12686-022-01281-4	http://dx.doi.org/10.1007/s12686-022-01281-4		JUL 2022	2	Biodiversity Conservation; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Genetics & Heredity	2P4DK					2022-10-18	WOS:000819693800001
S	Planes, S		Hecht, MK; Macintyre, RJ; Clegg, MT		Planes, S			Genetic diversity and dispersal capabilities in marine fish	EVOLUTIONARY BIOLOGY, VOL 30	EVOLUTIONARY BIOLOGY-NEW YORK		English	Review							BIOCHEMICAL POPULATION-GENETICS; HERRING CLUPEA-HARENGUS; CORAL-REEF FISHES; COD GADUS-MORHUA; SOUTHERN-CALIFORNIA; PROTEIN POLYMORPHISM; HAWAIIAN ARCHIPELAGO; ENZYME POLYMORPHISM; NATURAL-POPULATIONS; NORWEGIAN WATERS		Univ Perpignan, CNRS, URA 1453, Ecole Prat Hautes Etud, F-66860 Perpignan, France		Planes, S (corresponding author), Univ Perpignan, CNRS, URA 1453, Ecole Prat Hautes Etud, F-66860 Perpignan, France.		PLANES, Serge/ABF-1360-2021						138	19	19	0	6	PLENUM PRESS DIV PLENUM PUBLISHING CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0071-3260		0-306-45674-5	EVOL BIOL			1998	30						253	298						46	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	BK91X					2022-10-18	WOS:000073863000007
