PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zhang, LX				Zhang, Louxin			Generating normal networks via leaf insertion and nearest neighbor interchange	BMC BIOINFORMATICS					17th Annual Research in Computational Molecular Biology (RECOMB) Satellite Workshop on Comparative Genomics - Bioinformatics	OCT 01-04, 2019	Montpellier, FRANCE																								1471-2105					DEC 17	2019	20	1		20					642	10.1186/s12859-019-3209-3	http://dx.doi.org/10.1186/s12859-019-3209-3								31842746					WOS:000511618800008
J	Palm, S; Vinterstare, J; Nathanson, JE; Triantafyllidis, A; Petersson, E				Palm, Stefan; Vinterstare, Jerker; Nathanson, Jan Eric; Triantafyllidis, Alexandros; Petersson, Erik			Reduced genetic diversity and low effective size in peripheral northern European catfish Silurus glanis populations	JOURNAL OF FISH BIOLOGY																		Vinterstare, Jerker/0000-0001-6998-4632; Palm, Stefan/0000-0002-9890-8265													0022-1112	1095-8649				DEC	2019	95	6					1407	1421		10.1111/jfb.14152	http://dx.doi.org/10.1111/jfb.14152		NOV 2019						31597197					WOS:000494735100001
J	Kirov, A; Sarafov, S; Pavlova, Z; Todorov, T; Chamova, T; Gospodinova, M; Tournev, I; Mitev, V; Todorova, A				Kirov, Andrey; Sarafov, Stayko; Pavlova, Zornitza; Todorov, Tihomir; Chamova, Teodora; Gospodinova, Mariana; Tournev, Ivailo; Mitev, Vanyo; Todorova, Albena			Founder effect of the Glu89Gln TTR mutation in the Bulgarian population	AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS																	Gospodinova, Mariana/AAI-4628-2020; Todorova, Albena/GRR-6300-2022; Chamova, Teodora/AAS-2081-2020	Gospodinova, Mariana/0000-0003-1328-245X; Mitev, Vanyo/0000-0001-7528-590X													1350-6129	1744-2818				OCT 2	2019	26	4					181	185		10.1080/13506129.2019.1634539	http://dx.doi.org/10.1080/13506129.2019.1634539		JUL 2019						31353960					WOS:000479632900001
J	Cherneva, IA; Chernyshev, AV; Ekimova, IA; Polyakova, NE; Schepetov, DM; Turanov, SV; Neretina, TV; Chaban, EM; Malakhov, VV				Cherneva, Irina A.; Chernyshev, Alexei V.; Ekimova, Irina A.; Polyakova, Neonila E.; Schepetov, Dimitry M.; Turanov, Sergei V.; Neretina, Tatiana V.; Chaban, Elena M.; Malakhov, Vladimir V.			Species identity and genetic structure of nemerteans of the "Lineus ruber-viridis" complex (Muller, 1774) from Arctic waters	POLAR BIOLOGY																	Polyakova, Neonila/AAN-7948-2020; Chernyshev, Alexei/A-7195-2014; Chaban, Elena/AAF-1578-2020; Ekimova, Irina/L-3958-2015; Ekimova, Irina/AAT-4377-2020; Turanov, Sergei/C-5694-2014	Polyakova, Neonila/0000-0002-4304-1270; Chernyshev, Alexei/0000-0002-2203-3001; Ekimova, Irina/0000-0002-1846-0780; Ekimova, Irina/0000-0002-1846-0780; Turanov, Sergei/0000-0003-4829-9729													0722-4060	1432-2056				MAR	2019	42	3					497	506		10.1007/s00300-018-2438-7	http://dx.doi.org/10.1007/s00300-018-2438-7													WOS:000459821700005
J	Pobedintseva, MA; Makunin, AI; Kichigin, IG; Kulemzina, AI; Serdyukova, NA; Ronnanenko, SA; Vorobieva, NV; Interesova, EA; Korentovich, MA; Zaytsev, VF; Mischenko, AV; Zadelenov, VA; Yurchenko, AA; Sherbakov, DY; Graphodatsky, AS; Trifonov, VA				Pobedintseva, Maria A.; Makunin, Alexey, I; Kichigin, Ilya G.; Kulemzina, Anastasia, I; Serdyukova, Nataliya A.; Ronnanenko, Svetlana A.; Vorobieva, Nadezhda V.; Interesova, Elena A.; Korentovich, Marina A.; Zaytsev, Vladimir F.; Mischenko, Andrey, V; Zadelenov, Vladimir A.; Yurchenko, Andrey A.; Sherbakov, Dmitry Yu; Graphodatsky, Alexander S.; Trifonov, Vladimir A.			Population genetic structure and phylogeography of sterlet (Acipenser ruthenus, Acipenseridae) in the Ob and Yenisei river basins	MITOCHONDRIAL DNA PART A																	Serdyukova, Natalia/AAU-6393-2021; Kulemzina, Anastasia I/N-8554-2015; Interesova, Elena/AAC-9727-2020; Makunin, Alexey/I-9216-2019; Sherbakov, Dmitry/AAL-5260-2020; Sherbakov, Dmitry/ABD-9804-2020; Graphodatsky, Alexander/B-4922-2010; Makunin, Alexey I/N-2055-2015; Trifonov, Vladimir/E-4907-2012; Romanenko, Svetlana/N-2500-2015; Interesova, Elena A/J-9825-2017; Pobedintseva, Maria/AAU-6683-2021; Yurchenko, Andrey/N-2698-2015; Sherbakov, Dmitry Yu/S-4953-2018; Mishchenko, Andrey/E-2838-2014; Kichigin, Ilya/N-7041-2015	Serdyukova, Natalia/0000-0002-0409-1371; Interesova, Elena/0000-0002-1148-6283; Makunin, Alexey/0000-0002-9555-5097; Sherbakov, Dmitry/0000-0002-1410-392X; Graphodatsky, Alexander/0000-0002-8282-1085; Makunin, Alexey I/0000-0002-9555-5097; Trifonov, Vladimir/0000-0003-0454-8359; Romanenko, Svetlana/0000-0002-0951-5209; Interesova, Elena A/0000-0002-1148-6283; Yurchenko, Andrey/0000-0002-2239-6902; Sherbakov, Dmitry Yu/0000-0002-1410-392X; Mishchenko, Andrey/0000-0002-8932-2916; Kichigin, Ilya/0000-0003-2354-672X; Kulemzina, Anastasia/0000-0002-6791-5120													2470-1394	2470-1408				JAN 2	2019	30	1					156	164		10.1080/24701394.2018.1467409	http://dx.doi.org/10.1080/24701394.2018.1467409								29716429					WOS:000461357300018
S	Mandel, JR; Brunet, J		Simon, P; Iorizzo, M; Grzebelus, D; Baranski, R		Mandel, Jennifer R.; Brunet, Johanne			Gene Flow in Carrot	CARROT GENOME	Compendium of Plant Genomes																Brunet, Johanne/ABB-6499-2021	Brunet, Johanne/0000-0003-4555-7411													2199-4781	2199-479X	978-3-030-03389-7; 978-3-030-03388-0				2019							59	76		10.1007/978-3-030-03389-7_4	http://dx.doi.org/10.1007/978-3-030-03389-7_4	10.1007/978-3-030-03389-7												WOS:000487755900004
J	Friedrich, SC; Hernandez-Diaz, JC; Leinemann, L; Prieto-Ruiz, JA; Wehenkel, C				Friedrich, Saskia C.; Hernandez-Diaz, Jose C.; Leinemann, Ludger; Prieto-Ruiz, Jose A.; Wehenkel, Christian			Spatial Genetic Structure in Seed Stands of Pinus arizonica Engelm. and Pinus cooperi Blanco in the State of Durango, Mexico	FOREST SCIENCE																															0015-749X	1938-3738				APR	2018	64	2					191	202		10.1093/forsci/fxx007	http://dx.doi.org/10.1093/forsci/fxx007													WOS:000431323200008
J	He, GL; Chen, PY; Gao, B; Han, YY; Zou, X; Song, F; Yan, J; Hou, YP				He, Guang-Lin; Chen, Peng-Yu; Gao, Bo; Han, Yan-Yan; Zou, Xing; Song, Feng; Yan, Jing; Hou, Yi-Ping			Phylogenetic analysis among 27 Chinese populations and genetic polymorphisms of 20 autosomal STR loci in a Chinese Uyghur ethnic minority group	AUSTRALIAN JOURNAL OF FORENSIC SCIENCES																	Hou, Yiping/H-9232-2018	Hou, Yiping/0000-0003-4254-2388													0045-0618	1834-562X					2018	50	5					493	502		10.1080/00450618.2016.1275793	http://dx.doi.org/10.1080/00450618.2016.1275793													WOS:000439713100007
J	Paris, JR; Stevens, JR; Catchen, JM				Paris, Josephine R.; Stevens, Jamie R.; Catchen, Julian M.			Lost in parameter space: a road map for stacks	METHODS IN ECOLOGY AND EVOLUTION																	Paris, Josephine Rosanna/J-1981-2014; Stevens, Jamie/O-7216-2019	Paris, Josephine Rosanna/0000-0001-6868-3416; Stevens, Jamie/0000-0002-1317-6721; Catchen, Julian/0000-0002-4798-660X													2041-210X	2041-2096				OCT	2017	8	10					1360	1373		10.1111/2041-210X.12775	http://dx.doi.org/10.1111/2041-210X.12775													WOS:000412858600021
J	Godfray, HCJ; North, A; Burt, A				Godfray, H. Charles J.; North, Ace; Burt, Austin			How driving endonuclease genes can be used to combat pests and disease vectors	BMC BIOLOGY																		Godfray, Hugh Charles Jonathan/0000-0001-8859-7232; Burt, Austin/0000-0001-5146-9640														1741-7007				SEP 11	2017	15								81	10.1186/s12915-017-0420-4	http://dx.doi.org/10.1186/s12915-017-0420-4								28893259					WOS:000410232800002
J	Thouzeau, V; Mennecier, P; Verdu, P; Austerlitz, F				Thouzeau, Valentin; Mennecier, Philippe; Verdu, Paul; Austerlitz, Frederic			Genetic and linguistic histories in Central Asia inferred using approximate Bayesian computations	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES																		Austerlitz, Frederic/0000-0001-8031-455X; Verdu, Paul/0000-0001-6828-268X													0962-8452	1471-2954				AUG 30	2017	284	1861							20170706	10.1098/rspb.2017.0706	http://dx.doi.org/10.1098/rspb.2017.0706								28835553					WOS:000408662400025
J	Novak, S; Kollar, R				Novak, Sebastian; Kollar, Richard			Spatial Gene Frequency Waves Under Genotype-Dependent Dispersal	GENETICS																	Kollar, Richard/I-7892-2014	Kollar, Richard/0000-0002-1438-0863													0016-6731	1943-2631				JAN	2017	205	1					367	374		10.1534/genetics.116.193946	http://dx.doi.org/10.1534/genetics.116.193946								27815360					WOS:000393677300025
J	Ossowski, A; Piatek, J; Parafiniuk, M; Pudlo, A; Pepinski, W; Skawronska, M; Szeremeta, M; Niemcunowicz-Janica, A; Soltyszewski, I				Ossowski, Andrzej; Piatek, Jaroslaw; Parafiniuk, Miroslaw; Pudlo, Aleksandra; Pepinski, Witold; Skawronska, Malgorzata; Szeremeta, Michal; Niemcunowicz-Janica, Anna; Soltyszewski, Ireneusz			Genetic variation of 15 autosomal STRs in a population sample of Bedouins residing in the area of the Fourth Nile Cataract, Sudan	ANTHROPOLOGISCHER ANZEIGER																	Ossowski, Andrzej/L-6624-2014; Skawrońska, Małgorzata/U-9251-2018; Pepiński, Witold/U-9250-2018; Niemcunowicz-Janica, Anna/ABH-1454-2021; Szeremeta, Michal/ABG-7035-2021	Skawrońska, Małgorzata/0000-0002-1237-4240; Pepiński, Witold/0000-0003-1244-2247; Niemcunowicz-Janica, Anna/0000-0003-2807-8312; Szeremeta, Michal/0000-0001-5845-0053; Parafiniuk, Miroslaw/0000-0002-3005-2202; Soltyszewski, Ireneusz/0000-0003-1128-8129; Ossowski, Andrzej/0000-0002-6819-1638													0003-5548						2017	74	4					263	268		10.1127/anthranz/2017/0718	http://dx.doi.org/10.1127/anthranz/2017/0718								28817155					WOS:000419255800001
J	Ramirez, JD; Hernandez, C; Leon, CM; Ayala, MS; Florez, C; Gonzalez, C				David Ramirez, Juan; Hernandez, Carolina; Leon, Cielo M.; Ayala, Martha S.; Florez, Carolina; Gonzalez, Camila			Taxonomy, diversity, temporal and geographical distribution of Cutaneous Leishmaniasis in Colombia: A retrospective study	SCIENTIFIC REPORTS																	González, Camila/AAW-9144-2021; Hernández, Diana Carolina/L-9785-2016; Ramirez, Juan David/F-3524-2016	Hernández, Diana Carolina/0000-0002-9989-4352; Gonzalez, Camila/0000-0001-8089-4056; Ayala Sotelo, Martha Stella/0000-0002-6804-0581; Ramirez, Juan David/0000-0002-1344-9312													2045-2322					JUN 22	2016	6								28266	10.1038/srep28266	http://dx.doi.org/10.1038/srep28266								27328969					WOS:000378220600001
