PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Louis, E				Louis, E.			Lemurs of Madagascar: Diversity phylogeny and in situ conservation	FOLIA PRIMATOLOGICA																															0015-5713						2004	75			1		515	296	296																WOS:000203407800514
J	Buchanan, FC; Maiers, LD; Thue, TD; De March, BGE; Stewart, REA				Buchanan, FC; Maiers, LD; Thue, TD; De March, BGE; Stewart, REA			Microsatellites from the Atlantic walrus Odobenus rosmarus rosmarus	MOLECULAR ECOLOGY																															0962-1083					AUG	1998	7	8					1083	1085											9711867					WOS:000075260700015
J	SOKAL, RR; ODEN, NL				SOKAL, RR; ODEN, NL			SPATIAL AUTOCORRELATION ANALYSIS AS AN INFERENTIAL TOOL IN POPULATION-GENETICS	AMERICAN NATURALIST																	Rohlf, F J/A-8710-2008														0003-0147					AUG	1991	138	2					518	521		10.1086/285229	http://dx.doi.org/10.1086/285229													WOS:A1991GJ83500012
J	MALAVASI, A; MORGANTE, JS				MALAVASI, A; MORGANTE, JS			POPULATION-GENETICS OF ANASTREPHA-FRATERCULUS (DIPTERA, TEPHRITIDAE) IN DIFFERENT HOSTS - GENETIC DIFFERENTIATION AND HETEROZYGOSITY	GENETICA																															0016-6707						1983	60	3					207	211		10.1007/BF00122375	http://dx.doi.org/10.1007/BF00122375													WOS:A1983QW67300007
B	Nash, C		Atkinson, P; Glasner, P; Greenslade, H		Nash, Catherine			Mapping origins Race and relatedness in population genetics and genetic genealogy	NEW GENETICS, NEW IDENTITIES	Genetics and Society																																978-0-203-96292-3				2007							77	100																WOS:000275729200006
J	BENNETT, JH				BENNETT, JH			GENETICS AND SOCIAL-STRUCTURE - MATHEMATICAL STRUCTURALISM IN POPULATION-GENETICS AND SOCIAL-THEORY - BALLONOFF,P	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						1977	47	3					492	493		10.1002/ajpa.1330470324	http://dx.doi.org/10.1002/ajpa.1330470324													WOS:A1977EA29200023
J	MITTON, JB; KOEHN, RK; PROUT, T				MITTON, JB; KOEHN, RK; PROUT, T			POPULATION GENETICS OF MARINE PELECYPODS .3. EPISTASIS BETWEEN FUNCTIONALLY RELATED ISOENZYMES OF MYTILUS-EDULIS	GENETICS																															0016-6731	1943-2631					1973	73	3					487	496											4700061					WOS:A1973P512500011
J	Hollenbach, J; Ladner, M; Nocedal, I; Hawbecker, S; Sanseau, E; Houtchens, K; Stoneking, M; Trachtenberg, E				Hollenbach, J.; Ladner, M.; Nocedal, I.; Hawbecker, S.; Sanseau, E.; Houtchens, K.; Stoneking, M.; Trachtenberg, E.			Population genetics of the KIR gene cluster in the CEPH human genome diversity panel	TISSUE ANTIGENS					15th International Histocompatibility and Immunogenetics Workshop and Conference	SEP 13-20, 2008	Rio de Janeiro, BRAZIL																								0001-2815					SEP	2008	72	3					245	245																WOS:000258444500044
C	GORDON, AG			SOC AMER FORESTERS	GORDON, AG			THE INTERFACE OF POPULATION GENETICS, ECOLOGY AND SILVICULTURE - AN OVERVIEW FOR THE BOREAL FOREST	MANAGING FORESTS TO MEET PEOPLE'S NEEDS					1994 Society-of-American-Foresters/Canadian-Institute-of-Forestry Joint Convention - Managing Forests to Meet Peoples Needs	SEP 18-22, 1994	ANCHORAGE, AK	SOC AMER FORESTERS, CANADIAN INST FORESTRY																									0-939970-63-5				1995							152	170																WOS:A1995BD07D00023
J	HOENIGSBERG, HF; PALOMINO, JJ; HAYES, MJ; ZANDSTRA, IZ; ROJAS, GG				HOENIGSBERG, HF; PALOMINO, JJ; HAYES, MJ; ZANDSTRA, IZ; ROJAS, GG			POPULATION-GENETICS IN AMERICAN TROPICS .10. GENETIC LOAD DIFFERENCES IN DROSOPHILA-WILLISTONI FROM COLOMBIA	EVOLUTION																															0014-3820						1977	31	4					805	811		10.2307/2407441	http://dx.doi.org/10.2307/2407441								28563711					WOS:A1977EJ64500008
J	HOPPENSTEADT, FC				HOPPENSTEADT, FC			ANALYSIS OF A STABLE POLYMORPHISM ARISING IN A SELECTION-MIGRATION MODEL IN POPULATION GENETICS	JOURNAL OF MATHEMATICAL BIOLOGY																															0303-6812						1975	2	3					235	240		10.1007/BF00277152	http://dx.doi.org/10.1007/BF00277152													WOS:A1975AV39300003
B	Chevillon, C; de Meeus, T; McCoy, KD		Morand, S; Beaudeau, F; Cabaret, J		Chevillon, Christine; de Meeus, Thierry; McCoy, Karen D.			Population Genetics and Molecular Epidemiology of Infectious Diseases	NEW FRONTIERS OF MOLECULAR EPIDEMIOLOGY OF INFECTIOUS DISEASES																	Chevillon, Christine/M-9770-2019; McCoy, Karen D/F-7061-2012; Chevillon, Christine/L-4645-2013	Chevillon, Christine/0000-0002-1262-5839; McCoy, Karen D/0000-0002-8972-3808; Chevillon, Christine/0000-0002-1262-5839															978-94-007-2113-5				2012							45	76		10.1007/978-94-007-2114-2_4	http://dx.doi.org/10.1007/978-94-007-2114-2_4	10.1007/978-94-007-2114-2												WOS:000301803100004
