PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Xi, DM; Memon, S; Li, GZ; Liu, XY; Su, C; Leng, J; Wang, LP; Khan, S; Deng, WD				Xi, Dongmei; Memon, Sameeullah; Li, Guozhi; Liu, Xiangying; Su, Chao; Leng, Jing; Wang, Liping; Khan, Sehroon; Deng, Weidong			Molecular cloning and sequence characterization of two genes, DQA1 and DQA2, from the Chinese yakow (Bos grunniens x Bos taurus)	TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES																															1300-0128						2017	41	1					136	141		10.3906/vet-1510-86	http://dx.doi.org/10.3906/vet-1510-86													WOS:000394568600019
J	Satler, JD; Zellmer, AJ; Carstens, BC				Satler, Jordan D.; Zellmer, Amanda J.; Carstens, Bryan C.			Biogeographic barriers drive co-diversification within associated eukaryotes of the Sarracenia alata pitcher plant system	PEERJ																															2167-8359					JAN 14	2016	4								e1576	10.7717/peerj.1576	http://dx.doi.org/10.7717/peerj.1576								26788436					WOS:000368410500008
J	Torkzaban, B; Kayvanjoo, AH; Ardalan, A; Mousavi, S; Mariotti, R; Baldoni, L; Ebrahimie, E; Ebrahimi, M; Hosseini-Mazinani, M				Torkzaban, Bahareh; Kayvanjoo, Amir Hossein; Ardalan, Arman; Mousavi, Soraya; Mariotti, Roberto; Baldoni, Luciana; Ebrahimie, Esmaeil; Ebrahimi, Mansour; Hosseini-Mazinani, Mehdi			Machine Learning Based Classification of Microsatellite Variation: An Effective Approach for Phylogeographic Characterization of Olive Populations	PLOS ONE																	Mousavi, Soraya/AAC-3998-2021; Mousavi, Soraya/P-4604-2018; Ebrahimi, Mansour/AAO-9096-2021; mariotti, roberto/AAG-7294-2021; Ebrahimie, Esmaeil/AAN-2611-2020; Baldoni, Luciana/A-4411-2016	Mousavi, Soraya/0000-0002-4433-2512; Mousavi, Soraya/0000-0002-4433-2512; Ebrahimi, Mansour/0000-0001-7011-2567; mariotti, roberto/0000-0002-9111-5123; Ebrahimie, Esmaeil/0000-0002-4431-2861; Baldoni, Luciana/0000-0002-3221-333X; BALDONI, LUCIANA/0000-0002-6636-0055; Kayvanjoo, Amir Hossein/0000-0003-1315-8336													1932-6203					NOV 24	2015	10	11							e0143465	10.1371/journal.pone.0143465	http://dx.doi.org/10.1371/journal.pone.0143465								26599001					WOS:000365862600068
J	Sethuraman, A; Janzen, FJ; Obrycki, J				Sethuraman, Arun; Janzen, Fredric J.; Obrycki, John			Population genetics of the predatory lady beetle Hippodamia convergens	BIOLOGICAL CONTROL																															1049-9644	1090-2112				MAY	2015	84						1	10		10.1016/j.biocontrol.2015.01.002	http://dx.doi.org/10.1016/j.biocontrol.2015.01.002													WOS:000352509000001
J	Zhan, X; Gu, ZF; Yu, CC; Wen, HY; Shi, YH; Wang, AM				Zhan, Xin; Gu, Zhifeng; Yu, Chengcheng; Wen, Haiyang; Shi, Yaohua; Wang, Aimin			Expressed sequence tags 454 sequencing and biomineralization gene expression for pearl sac of the pearl oyster, Pinctada fucata martensii	AQUACULTURE RESEARCH																	zhan, xin/G-2472-2011	zhan, xin/0000-0001-5873-3141													1355-557X	1365-2109				MAR	2015	46	3					745	758		10.1111/are.12227	http://dx.doi.org/10.1111/are.12227													WOS:000348532900022
J	Persoons, A; Morin, E; Delaruelle, C; Payen, T; Halkett, F; Frey, P; De Mita, S; Duplessis, S				Persoons, Antoine; Morin, Emmanuelle; Delaruelle, Christine; Payen, Thibaut; Halkett, Fabien; Frey, Pascal; De Mita, Stephane; Duplessis, Sebastien			Patterns of genomic variation in the poplar rust fungus Melampsora larici-populina identify pathogenesis-related factors	FRONTIERS IN PLANT SCIENCE																	morin, emmanuelle/AAA-1246-2019; , DUPLESSIS/G-4150-2011; Frey, Pascal/F-9212-2013	morin, emmanuelle/0000-0002-7268-972X; , DUPLESSIS/0000-0002-2072-2989; Frey, Pascal/0000-0001-6294-737X; persoons, antoine/0000-0002-2003-9776; Halkett, Fabien/0000-0001-8856-0501													1664-462X					SEP 15	2014	5								450	10.3389/fpls.2014.00450	http://dx.doi.org/10.3389/fpls.2014.00450								25309551					WOS:000343857100001
J	Liu, J; Li, SY; Yin, JY; Zhang, W; Gao, B; Guo, L; Qi, R				Liu, Jian; Li, Shu-yin; Yin, Jiao-yang; Zhang, Wei; Gao, Bing; Guo, Li; Qi, Rong			Genetic analysis of 15 STR loci from a Xibe population in Liaoning, Northeast of China	ANNALS OF HUMAN BIOLOGY																															0301-4460	1464-5033				MAY-JUN	2014	41	3					244	248		10.3109/03014460.2013.852245	http://dx.doi.org/10.3109/03014460.2013.852245								24215563					WOS:000335890700008
J	Petrou, EL; Seeb, JE; Hauser, L; Witteveen, MJ; Templin, WD; Seeb, LW				Petrou, E. L.; Seeb, J. E.; Hauser, L.; Witteveen, M. J.; Templin, W. D.; Seeb, L. W.			Fine-scale sampling reveals distinct isolation by distance patterns in chum salmon (Oncorhynchus keta) populations occupying a glacially dynamic environment	CONSERVATION GENETICS																	Seeb, Lisa W/GSN-3076-2022; Hauser, Lorenz/E-4365-2010														1566-0621	1572-9737				FEB	2014	15	1					229	243		10.1007/s10592-013-0534-3	http://dx.doi.org/10.1007/s10592-013-0534-3													WOS:000332372300018
J	Chang, HH; Moss, EL; Park, DJ; Ndiaye, D; Mboup, S; Volkman, SK; Sabeti, PC; Wirth, DF; Neafsey, DE; Hartl, DL				Chang, Hsiao-Han; Moss, Eli L.; Park, Daniel J.; Ndiaye, Daouda; Mboup, Souleymane; Volkman, Sarah K.; Sabeti, Pardis C.; Wirth, Dyann F.; Neafsey, Daniel E.; Hartl, Daniel L.			Malaria life cycle intensifies both natural selection and random genetic drift	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA																	Sabeti, Pardis/GQH-8610-2022														0027-8424					DEC 10	2013	110	50					20129	20134		10.1073/pnas.1319857110	http://dx.doi.org/10.1073/pnas.1319857110								24259712					WOS:000328061700047
J	Otalora, MAG; Salvador, C; Martinez, I; Aragon, G				Otalora, Monica A. G.; Salvador, Clara; Martinez, Isabel; Aragon, Gregorio			Does the Reproductive Strategy Affect the Transmission and Genetic Diversity of Bionts in Cyanolichens? A Case Study Using Two Closely Related Species	MICROBIAL ECOLOGY																	Martinez, Isabel/K-8800-2014; Aragón, Gregorio/F-7121-2016	Martinez, Isabel/0000-0002-5924-1648; Aragón, Gregorio/0000-0003-3349-5153													0095-3628	1432-184X				FEB	2013	65	2					517	530		10.1007/s00248-012-0136-5	http://dx.doi.org/10.1007/s00248-012-0136-5								23184157					WOS:000314366900023
