PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Maya, HES; Mercado-Flores, Y; Tellez-Jurado, A; Perez-Camarillo, JP; Mejia, O; Anducho-Reyes, MA				Maya, Hasdra Elena Sanchez; Mercado-Flores, Yuridia; Tellez-Jurado, Alejandro; Perez-Camarillo, Juan Pablo; Mejia, Omar; Anducho-Reyes, Miguel Angel			Molecular Variation of the Phytopathogenic Fungus Sporisorium reilianum in Valle del Mezquital, Hidalgo	FRONTIERS IN ECOLOGY AND EVOLUTION																	Mejía, Omar/AAD-9712-2020; Mercado-Flores, Yuridia/Q-2870-2019	Mejía, Omar/0000-0002-7021-8377; Mercado-Flores, Yuridia/0000-0003-3278-2783													2296-701X					FEB 21	2020	8								36	10.3389/fevo.2020.00036	http://dx.doi.org/10.3389/fevo.2020.00036													WOS:000523490000001
J	Bertram, J; Masel, J				Bertram, Jason; Masel, Joanna			Density-dependent selection and the limits of relative fitness	THEORETICAL POPULATION BIOLOGY					Symposium on Feldmania II in honor of Marcus Feldman's 75th birthday	NOV, 2017	Stanford Univ, Stanford, CA		Stanford Univ									Masel, Joanna/0000-0002-7398-2127													0040-5809	1096-0325				OCT	2019	129				SI		81	92		10.1016/j.tpb.2018.11.006	http://dx.doi.org/10.1016/j.tpb.2018.11.006								30664884					WOS:000489193000008
J	Francischini, FJB; Cordeiro, EMG; de Campos, JB; Alves-Pereira, A; Viana, JPG; Wu, X; Wei, W; Brown, P; Joyce, A; Murua, G; Fogliata, S; Clough, SJ; Zucchi, MI				Francischini, Fabricio J. B.; Cordeiro, Erick M. G.; de Campos, Jaqueline B.; Alves-Pereira, Alessandro; Gomes Viana, Joao Paulo; Wu, Xing; Wei, Wei; Brown, Patrick; Joyce, Andrea; Murua, Gabriela; Fogliata, Sofia; Clough, Steven J.; Zucchi, Maria I.			Diatraea saccharalis history of colonization in the Americas. The case for human-mediated dispersal	PLOS ONE																	Viana, João Paulo JPGV Gomes/K-1178-2012; Alves-Pereira, Alessandro/I-6595-2012; Zucchi, Maria Imaculada/D-2637-2012; Cordeiro, Erick MG/P-7042-2015; Zucchi, Maria Imaculada/AAC-8157-2019; Francischini, Fabricio/AAZ-9542-2020	Viana, João Paulo JPGV Gomes/0000-0002-9217-9604; Alves-Pereira, Alessandro/0000-0002-3012-6355; Zucchi, Maria Imaculada/0000-0002-4863-1843; Zucchi, Maria Imaculada/0000-0002-4863-1843; 													1932-6203					JUL 24	2019	14	7							e0220031	10.1371/journal.pone.0220031	http://dx.doi.org/10.1371/journal.pone.0220031								31339922					WOS:000482335700046
J	Aujoulat, F; Pages, S; Masnou, A; Emboule, L; Teyssier, C; Marchandin, H; Gaudriault, S; Givaudan, A; Jumas-Bilak, E				Aujoulat, Fabien; Pages, Sylvie; Masnou, Agnes; Emboule, Loic; Teyssier, Corinne; Marchandin, Helene; Gaudriault, Sophie; Givaudan, Alain; Jumas-Bilak, Estelle			The population structure of Ochrobactrum isolated from entomopathogenic nematodes indicates interactions with the symbiotic system	INFECTION GENETICS AND EVOLUTION																	, Gaudriault/AAK-9152-2021; MARCHANDIN, Hélène/AAM-8288-2021	, Gaudriault/0000-0003-2789-4959; MARCHANDIN, Hélène/0000-0003-2130-6335													1567-1348	1567-7257				JUN	2019	70						131	139		10.1016/j.meegid.2019.02.016	http://dx.doi.org/10.1016/j.meegid.2019.02.016								30790700					WOS:000462355300020
J	Fraimout, A; Monnet, AC				Fraimout, Antoine; Monnet, Anne-Christine			Accounting for intraspecific variation to quantify niche dynamics along the invasion routes of Drosophila suzukii	BIOLOGICAL INVASIONS																		Fraimout, Antoine/0000-0003-4552-3553													1387-3547	1573-1464				OCT	2018	20	10					2963	2979		10.1007/s10530-018-1750-z	http://dx.doi.org/10.1007/s10530-018-1750-z													WOS:000445069800023
J	Mertens, LEA; Treml, EA; von der Heyden, S				Mertens, Lisa E. A.; Treml, Eric A.; von der Heyden, Sophie			Genetic and Biophysical Models Help Define Marine Conservation Focus Areas	FRONTIERS IN MARINE SCIENCE																	Treml, Eric/C-7580-2013	Treml, Eric/0000-0003-4844-4420														2296-7745				AUG 6	2018	5								268	10.3389/fmars.2018.00268	http://dx.doi.org/10.3389/fmars.2018.00268													WOS:000457363900001
J	Finseth, FR; Harrison, RG				Finseth, Findley R.; Harrison, Richard G.			Genes Integral to the Reproductive Function of Male Reproductive Tissues Drive Heterogeneity in Evolutionary Rates in Japanese Quail	G3-GENES GENOMES GENETICS																															2160-1836					JAN	2018	8	1					39	51		10.1534/g3.117.300095	http://dx.doi.org/10.1534/g3.117.300095								29158338					WOS:000419333800005
J	Ye, JW; Jiang, T; Wang, HF; Wang, TM; Bao, L; Ge, JP				Ye, Jun-Wei; Jiang, Tao; Wang, Hong-Fang; Wang, Tian-Ming; Bao, Lei; Ge, Jian-Ping			Repeated expansions and fragmentations linked to Pleistocene climate changes shaped the genetic structure of a woody climber, Actinidia arguta (Actinidiaceae)	BOTANY																															1916-2790	1916-2804				JAN	2018	96	1					19	31		10.1139/cjb-2017-0058	http://dx.doi.org/10.1139/cjb-2017-0058													WOS:000419345300003
J	Dudaniec, RY; Tesson, SVM				Dudaniec, Rachael Y.; Tesson, Sylvie V. M.			Applying landscape genetics to the microbial world	MOLECULAR ECOLOGY																	Dudaniec, Rachael/AAR-7034-2020; Tesson, Sylvie VM/D-9018-2015	Dudaniec, Rachael/0000-0002-1854-6808; Tesson, Sylvie VM/0000-0002-0751-6953													0962-1083	1365-294X				JUL	2016	25	14					3266	3275		10.1111/mec.13691	http://dx.doi.org/10.1111/mec.13691								27146426					WOS:000379614400003
J	Montiel, AL; Hail, D; Macias-Velasco, JF; Powell, CM; Bextine, BR				Montiel, Amalia Lopez; Hail, Daymon; Macias-Velasco, Juan F.; Powell, Christopher M.; Bextine, Blake R.			The Mitochondrial Genome of the Potato Psyllid, Bactericera cockerelli Sulc., and Differences among Potato Psyllid Populations of the United States	SOUTHWESTERN ENTOMOLOGIST																															0147-1724	2162-2647				JUN	2016	41	2					347	360		10.3958/059.041.0211	http://dx.doi.org/10.3958/059.041.0211													WOS:000379227800006
