PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hoffmann, GS; Johannesen, J; Griebeler, EM				Hoffmann, G. Sebastian; Johannesen, Jes; Griebeler, Eva Maria			Species cross-amplification, identification and genetic variation of 17 species of deer (Cervidae) with microsatellite and mitochondrial DNA from antlers	MOLECULAR BIOLOGY REPORTS																															0301-4851	1573-4978				JUN	2015	42	6					1059	1067		10.1007/s11033-014-3845-7	http://dx.doi.org/10.1007/s11033-014-3845-7								25424838					WOS:000353818300005
J	Labate, JA; Robertson, LD				Labate, Joanne A.; Robertson, Larry D.			Nucleotide diversity estimates of tomatillo (Physalis philadelphica) accessions including nine new inbred lines	MOLECULAR BREEDING																															1380-3743	1572-9788				APR	2015	35	4							106	10.1007/s11032-015-0302-9	http://dx.doi.org/10.1007/s11032-015-0302-9													WOS:000354407200008
C	Coulombe, M; Stevens, K; Gusfield, D			IEEE	Coulombe, Michael; Stevens, Kristian; Gusfield, Dan			Construction, enumeration, and optimization of perfect phylogenies on multi-state data	2015 IEEE 5TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL ADVANCES IN BIO AND MEDICAL SCIENCES (ICCABS)	International Conference on Computational Advances in Bio and Medical Sciences				5th IEEE International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)	OCT 15-17, 2015	Miami, FL	IEEE, Univ Connecticut, NSF, FIU Computat & Informat Sci, UConn, Booth Engn Ctr Adv Technol																							2164-229X		978-1-4673-9664-6				2015																								WOS:000377899500007
J	Guclu, O; Durmus, SH; Candan, K; Beser, N; Turkyilmaz, S; Yerli, S; Bozdogan, B				Guclu, Ozgur; Durmus, Salih Hakan; Candan, Kamil; Beser, Nurettin; Turkyilmaz, Suheyla; Yerli, Sedat; Bozdogan, Bulent			Development and characterization of new polymorphic microsatellite loci for Trionyx triunguis (Testudines: Trionychidae) in the Mediterranean Basin	AMPHIBIA-REPTILIA																	Güçlü, Özgür/AAA-7414-2020; Yerli, Sedat Vahdet/AAZ-3509-2020; Candan, Kamil/P-4505-2019; Bozdogan, Bulent/C-9137-2018; Candan, Kamil/B-5926-2016	Bozdogan, Bulent/0000-0001-8846-7649; Beser, Nurettin/0000-0002-0143-8915													0173-5373	1568-5381					2015	36	3					318	324		10.1163/15685381-00003003	http://dx.doi.org/10.1163/15685381-00003003													WOS:000360976600013
J	Sandoval-Castellanos, E; Palkopoulou, E; Dalen, L				Sandoval-Castellanos, Edson; Palkopoulou, Eleftheria; Dalen, Love			Back to BaySICS: A User-Friendly Program for Bayesian Statistical Inference from Coalescent Simulations	PLOS ONE																	Dalén, Love/A-6686-2008; Sandoval-Castellanos, Edson/A-2720-2013	Dalén, Love/0000-0001-8270-7613; Sandoval-Castellanos, Edson/0000-0002-0840-8225													1932-6203					MAY 27	2014	9	5							e98011	10.1371/journal.pone.0098011	http://dx.doi.org/10.1371/journal.pone.0098011								24865457					WOS:000336914100029
J	Cai, X; Yu, SM; Mipam, T; Zhang, XY; Yue, BS				Cai, Xin; Yu, Shumin; Mipam, Tserangdonko; Zhang, Xiuyue; Yue, Bisong			Phylogenetic lineages of Monopterus albus (Synbranchiformes: Synbranchidae) in China inferred from mitochondrial control region	JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH																															0947-5745	1439-0469				FEB	2013	51	1					38	44		10.1111/jzs.12004	http://dx.doi.org/10.1111/jzs.12004													WOS:000313753400005
J	Liu, GH; Li, C; Li, JY; Zhou, DH; Xiong, RC; Lin, RQ; Zou, FC; Zhu, XQ				Liu, Guo-Hua; Li, Chun; Li, Jia-Yuan; Zhou, Dong-Hui; Xiong, Rong-Chuan; Lin, Rui-Qing; Zou, Feng-Cai; Zhu, Xing-Quan			Characterization of the Complete Mitochondrial Genome Sequence of Spirometra erinaceieuropaei (Cestoda: Diphyllobothriidae) from China	INTERNATIONAL JOURNAL OF BIOLOGICAL SCIENCES																	ZOU, Fengcai/ABE-4598-2021; li, jia/GVT-7587-2022	ZOU, Fengcai/0000-0002-9613-3734; 													1449-2288						2012	8	5					640	649		10.7150/ijbs.4096	http://dx.doi.org/10.7150/ijbs.4096								22553464					WOS:000305118800005
J	Reddy, SB; Rosenberg, NA				Reddy, Shashir B.; Rosenberg, Noah A.			Refining the relationship between homozygosity and the frequency of the most frequent allele	JOURNAL OF MATHEMATICAL BIOLOGY																		Rosenberg, Noah/0000-0002-1829-8664; Reddy, Shashir/0000-0003-4767-2851													0303-6812					JAN	2012	64	1-2					87	108		10.1007/s00285-011-0406-8	http://dx.doi.org/10.1007/s00285-011-0406-8								21305294					WOS:000298652400004
J	Bradman, H; Grewe, P; Appleton, B				Bradman, H.; Grewe, P.; Appleton, B.			Direct comparison of mitochondrial markers for the analysis of swordfish population structure	FISHERIES RESEARCH																	Grewe, Peter/P-1515-2015; Grewe, Peter/AAJ-5227-2021	Grewe, Peter/0000-0001-7111-4150; Grewe, Peter/0000-0001-7111-4150													0165-7836	1872-6763				APR	2011	109	1					95	99		10.1016/j.fishres.2011.01.022	http://dx.doi.org/10.1016/j.fishres.2011.01.022													WOS:000289400300011
J	Millar, MA; Byrne, M; O'Sullivan, W				Millar, M. A.; Byrne, M.; O'Sullivan, W.			Defining entities in the Acacia saligna (Fabaceae) species complex using a population genetics approach	AUSTRALIAN JOURNAL OF BOTANY																	Byrne, Margaret/H-8198-2015; Millar, Melissa/AAB-9334-2020	Byrne, Margaret/0000-0002-7197-5409; Millar, Melissa/0000-0002-9427-2255													0067-1924	1444-9862					2011	59	2					137	148		10.1071/BT10327	http://dx.doi.org/10.1071/BT10327													WOS:000288863200004
