PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Macke, E; Tasiemski, A; Massol, F; Callens, M; Decaestecker, E				Macke, Emilie; Tasiemski, Aurelie; Massol, Francois; Callens, Martijn; Decaestecker, Ellen			Life history and eco-evolutionary dynamics in light of the gut microbiota	OIKOS																	Decaestecker, Ellen/AAB-3420-2021; Decaestecker, Ellen/ABB-1242-2020; Massol, Francois/D-9872-2013; Decaestecker, Ellen/AAQ-6099-2020; Tasiemski, Aurelie/S-2537-2016	Decaestecker, Ellen/0000-0001-6328-5283; Massol, Francois/0000-0002-4098-955X; Tasiemski, Aurelie/0000-0003-3559-5115; Callens, Martijn/0000-0003-3708-5872													0030-1299	1600-0706				APR	2017	126	4					508	531		10.1111/oik.03900	http://dx.doi.org/10.1111/oik.03900													WOS:000398117500007
J	Weber, AAT; Merigot, B; Valiere, S; Chenuil, A				Weber, A. A. -T.; Merigot, B.; Valiere, S.; Chenuil, A.			Influence of the larval phase on connectivity: strong differences in the genetic structure of brooders and broadcasters in the Ophioderma longicauda species complex	MOLECULAR ECOLOGY																	Mérigot, Bastien/H-7754-2018; CHENUIL, Anne/E-3902-2012; Mérigot, Bastien/M-7052-2019	Mérigot, Bastien/0000-0001-5264-4324; CHENUIL, Anne/0000-0001-8141-7147; Mérigot, Bastien/0000-0001-5264-4324; Weber, Alexandra/0000-0002-7980-388X													0962-1083	1365-294X				DEC	2015	24	24					6080	6094		10.1111/mec.13456	http://dx.doi.org/10.1111/mec.13456								26547515					WOS:000367906700006
J	Rodriguez-Robles, JA; Jezkova, T; Fujita, MK; Tolson, PJ; Garcia, MA				Rodriguez-Robles, Javier A.; Jezkova, Tereza; Fujita, Matthew K.; Tolson, Peter J.; Garcia, Miguel A.			Genetic divergence and diversity in the Mona and Virgin Islands Boas, Chilabothrus monensis (Epicrates monensis) (Serpentes: Boidae), West Indian snakes of special conservation concern	MOLECULAR PHYLOGENETICS AND EVOLUTION																	Rodriguez-Robles, Javier/A-6806-2009	Rodriguez-Robles, Javier/0000-0003-4501-9875; Boff, Samuel/0000-0003-2649-3619													1055-7903	1095-9513				JUL	2015	88						144	153		10.1016/j.ympev.2015.03.019	http://dx.doi.org/10.1016/j.ympev.2015.03.019								25837733					WOS:000355057400012
J	Kim, M; McKinnon, D; MacCarthy, T; Rosati, B; McKinnon, D				Kim, Min; McKinnon, Don; MacCarthy, Thomas; Rosati, Barbara; McKinnon, David			Regulatory Evolution and Voltage-Gated Ion Channel Expression in Squid Axon: Selection-Mutation Balance and Fitness Cliffs	PLOS ONE																															1932-6203					APR 13	2015	10	4							e0120785	10.1371/journal.pone.0120785	http://dx.doi.org/10.1371/journal.pone.0120785								25875483					WOS:000352845100027
J	Guell, M; Rodriguez Mora, JV; Telmer, CI				Gueell, Maia; Rodriguez Mora, Jose V.; Telmer, Christopher I.			The Informational Content of Surnames, the Evolution of Intergenerational Mobility, and Assortative Mating	REVIEW OF ECONOMIC STUDIES																															0034-6527	1467-937X				APR	2015	82	2					693	735		10.1093/restud/rdu041	http://dx.doi.org/10.1093/restud/rdu041													WOS:000353544900009
J	Rugman-Jones, PF; Seybold, SJ; Graves, AD; Stouthamer, R				Rugman-Jones, Paul F.; Seybold, Steven J.; Graves, Andrew D.; Stouthamer, Richard			Phylogeography of the Walnut Twig Beetle, Pityophthorus juglandis, the Vector of Thousand Cankers Disease in North American Walnut Trees	PLOS ONE																															1932-6203					FEB 19	2015	10	2							e0118264	10.1371/journal.pone.0118264	http://dx.doi.org/10.1371/journal.pone.0118264								25695760					WOS:000350062300046
J	Ding, J; Zhao, L; Chang, YQ; Zhao, WM; Du, ZL; Hao, ZL				Ding, Jun; Zhao, Le; Chang, Yaqing; Zhao, Wenming; Du, Zhenlin; Hao, Zhenlin			Transcriptome Sequencing and Characterization of Japanese Scallop Patinopecten yessoensis from Different Shell Color Lines	PLOS ONE																		Zhao, Le/0000-0003-0505-9936													1932-6203					FEB 13	2015	10	2							e0116406	10.1371/journal.pone.0116406	http://dx.doi.org/10.1371/journal.pone.0116406								25680107					WOS:000350682600019
J	Garud, NR; Messer, PW; Buzbas, EO; Petrov, DA				Garud, Nandita R.; Messer, Philipp W.; Buzbas, Erkan O.; Petrov, Dmitri A.			Recent Selective Sweeps in North American Drosophila melanogaster Show Signatures of Soft Sweeps	PLOS GENETICS																		Petrov, Dmitri/0000-0002-3664-9130; Garud, Nandita/0000-0003-4217-4407; Messer, Philipp/0000-0001-8453-9377													1553-7404					FEB	2015	11	2							e1005004	10.1371/journal.pgen.1005004	http://dx.doi.org/10.1371/journal.pgen.1005004								25706129					WOS:000352081800056
J	Callicrate, T; Dikow, R; Thomas, JW; Mullikin, JC; Jarvis, ED; Fleischer, RC				Callicrate, Taylor; Dikow, Rebecca; Thomas, James W.; Mullikin, James C.; Jarvis, Erich D.; Fleischer, Robert C.		NISC Comparative Sequencing	Genomic resources for the endangered Hawaiian honeycreepers	BMC GENOMICS																	Jarvis, Erich D/A-2319-2008	Jarvis, Erich D/0000-0001-8931-5049; Dikow, Rebecca/0000-0001-9668-3683													1471-2164					DEC 12	2014	15								1098	10.1186/1471-2164-15-1098	http://dx.doi.org/10.1186/1471-2164-15-1098								25496081					WOS:000347575100002
J	Benger, E; Sella, G				Benger, Etam; Sella, Guy			Modeling the effect of changing selective pressures on polymorphism and divergence	THEORETICAL POPULATION BIOLOGY																															0040-5809	1096-0325				MAY	2013	85						73	85		10.1016/j.tpb.2012.10.001	http://dx.doi.org/10.1016/j.tpb.2012.10.001								23178187					WOS:000322297600009
J	Inoue, MN; Sunamura, E; Suhr, EL; Ito, F; Tatsuki, S; Goka, K				Inoue, Maki N.; Sunamura, Eiriki; Suhr, Elissa L.; Ito, Fuminori; Tatsuki, Sadahiro; Goka, Koichi			Recent range expansion of the Argentine ant in Japan	DIVERSITY AND DISTRIBUTIONS																	INOUE, Maki/H-6581-2013	INOUE, Maki/0000-0002-9815-3480													1366-9516	1472-4642				JAN	2013	19	1					29	37		10.1111/j.1472-4642.2012.00934.x	http://dx.doi.org/10.1111/j.1472-4642.2012.00934.x													WOS:000312534700003
