PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Porter, AH; Johnson, NA				Porter, AH; Johnson, NA			Speciation despite gene flow when developmental pathways evolve	EVOLUTION																															0014-3820	1558-5646				NOV	2002	56	11					2103	2111											12487342					WOS:000179683100001
J	de Pancorbo, MM; Lopez-Martinez, M; Martinez-Bouzas, C; Castro, A; Fernandez-Fernandez, I; de Mayolo, GA; de Mayolo, AA; de Mayolo, PA; Rowold, DJ; Herrera, RJ				de Pancorbo, MM; Lopez-Martinez, M; Martinez-Bouzas, C; Castro, A; Fernandez-Fernandez, I; de Mayolo, GA; de Mayolo, AA; de Mayolo, PA; Rowold, DJ; Herrera, RJ			The Basques according to polymorphic Alu insertions	HUMAN GENETICS																	martinez-bouzas, cristina/D-8506-2012	MARTINEZ DE PANCORBO, MARIA DE LOS ANGELES/0000-0002-7408-6068; M. de Pancorbo, Marian/0000-0002-8081-0702													0340-6717					AUG	2001	109	2					224	233		10.1007/s004390100544	http://dx.doi.org/10.1007/s004390100544								11511929					WOS:000170888200014
J	Zhang, Z; Hu, T; Lu, GQ; Zhu, LF				Zhang, Zheng; Hu, Ting; Lu, Guoqing; Zhu, Lifeng			Lessons from bamboo-eating pandas and their gut microbiome: Gut microbiome flow and applications	EVOLUTIONARY APPLICATIONS																	Zhu, Lifeng/AAK-8892-2020	Lu, Guoqing/0000-0002-2728-9604													1752-4571					APR	2020	13	4					615	619		10.1111/eva.12915	http://dx.doi.org/10.1111/eva.12915								32211055					WOS:000520853700001
J	Liang, X; Shu, GC; Wang, B; Jiang, JP; Li, C; Xie, F				Liang, Xi; Shu, Guo-Cheng; Wang, Bin; Jiang, Jian-Ping; Li, Cheng; Xie, Feng			Complete mitochondrial genome of the Leishan moustache toad, Vibrissaphora leishanensis (Anura: Megophryidae)	MITOCHONDRIAL DNA PART B-RESOURCES																																2380-2359					2016	1	1					275	276		10.1080/23802359.2016.1159937	http://dx.doi.org/10.1080/23802359.2016.1159937								33644358					WOS:000402041200129
J	Ma, YJ; Fan, Y				Ma, Yajun; Fan, Yong			Isolation and characterization of polymorphic microsatellite markers from Asian malaria mosquito Anopheles sinensis (Diptera : Culicidae)	MOLECULAR ECOLOGY RESOURCES																															1755-098X	1755-0998				SEP	2008	8	5					1059	1061		10.1111/j.1755-0998.2008.02154.x	http://dx.doi.org/10.1111/j.1755-0998.2008.02154.x								21585971					WOS:000258997100034
J	Rypien, KL; Andras, JP				Rypien, Krystal L.; Andras, Jason P.			Isolation and characterization of microsatellite loci in Aspergillus sydowii, a pathogen of Caribbean sea fan corals	MOLECULAR ECOLOGY RESOURCES																															1755-098X	1755-0998				JAN	2008	8	1					230	232		10.1111/j.1471-8286.2007.01934.x	http://dx.doi.org/10.1111/j.1471-8286.2007.01934.x								21585764					WOS:000253827100053
S	Whigham, PA; Dick, G		Wang, TD; Li, X; Chen, SH; Wang, X; Abbass, H; Iba, H; Chen, G; Yao, X		Whigham, P. A.; Dick, G.			Evolutionary dynamics on graphs: The Moran process	SIMULATED EVOLUTION AND LEARNING, PROCEEDINGS	Lecture Notes in Computer Science				6th International Conference on Simulated Evolution and Learning	OCT 15-18, 2006	Univ Sci & Technol China, Hefei, PEOPLES R CHINA	Natl Nat Sci Fdn China, Chinese Acad Sci, Anhui Comp Federat, Univ Birmingham, Ctr Excellence Res Computat Intelligence & Applicat, Anhui Province, Key Lab Comp & Commun Software Engn	Univ Sci & Technol China								Dick, Grant/T-6960-2019														0302-9743	1611-3349	3-540-47331-9				2006	4247						1	8																WOS:000242556300001
J	Pinheiro, MF; Pontes, ML; Huguet, E; Gene, M; daCosta, JP; Moreno, P				Pinheiro, MF; Pontes, ML; Huguet, E; Gene, M; daCosta, JP; Moreno, P			Study of three AMPFLPs (D1S80, 3'ApoB and YNZ22) in the population of the North of Portugal	FORENSIC SCIENCE INTERNATIONAL																	Pontes, Lurdes/AAT-3715-2020	Pontes, Lurdes/0000-0003-0673-1296													0379-0738	1872-6283				MAY 17	1996	79	1					23	29		10.1016/0379-0738(95)01883-2	http://dx.doi.org/10.1016/0379-0738(95)01883-2								8635770					WOS:A1996UK89200003
J	Crespo Pardo, D; Terracciano, S; Giordano, S; Spagnuolo, V				Crespo Pardo, David; Terracciano, Stefano; Giordano, Simonetta; Spagnuolo, Valeria			Molecular markers based on PCR methods: a guideline for mosses	CRYPTOGAMIE BRYOLOGIE																		Giordano, Simonetta/0000-0002-0705-8550; SPAGNUOLO, Valeria/0000-0002-5021-6817													1290-0796	1776-0992				JUL	2014	35	3					229	246		10.7872/cryb.v35.iss3.2014.229	http://dx.doi.org/10.7872/cryb.v35.iss3.2014.229													WOS:000340229300001
J	Paterson, T; Law, A				Paterson, T.; Law, A.			GENOTYPECHECKER: an interactive tool for checking the inheritance consistency of genotyped pedigrees	ANIMAL GENETICS																															0268-9146					OCT	2011	42	5					560	562		10.1111/j.1365-2052.2011.02183.x	http://dx.doi.org/10.1111/j.1365-2052.2011.02183.x								21906109					WOS:000294765800013
J	Jung, H; Marjoram, P				Jung, Hsuan; Marjoram, Paul			Choice of Summary Statistic Weights in Approximate Bayesian Computation	STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY																															2194-6302	1544-6115					2011	10	1							45	10.2202/1544-6115.1586	http://dx.doi.org/10.2202/1544-6115.1586								23089822					WOS:000295515800002
J	Ravago-Gotanco, R; Lumibao, CY; Pante, MJR				Ravago-Gotanco, Rachel; Lumibao, Candice Y.; Pante, Ma. Josefa R.			Isolation and characterization of thirteen microsatellite markers for the rabbitfish, Siganus fuscescens	CONSERVATION GENETICS RESOURCES																	Ravago-Gotanco, Rachel/AAE-3149-2020	Ravago-Gotanco, Rachel/0000-0003-3570-2005													1877-7252	1877-7260				SEP	2010	2			1			225	227		10.1007/s12686-009-9148-y	http://dx.doi.org/10.1007/s12686-009-9148-y													WOS:000290413000053
J	Ng, J; Perkins, SL; Dussmann, EJ; Glor, RE				Ng, Julienne; Perkins, Susan L.; Dussmann, Erica J.; Glor, Richard E.			Eleven highly polymorphic microsatellite markers for the lizard Anolis distichus	CONSERVATION GENETICS RESOURCES																	Glor, Richard/N-4656-2013; Perkins, Susan/D-3408-2018	Glor, Richard/0000-0002-3359-1631; NG, JULIENNE/0000-0002-2994-6233; Perkins, Susan/0000-0002-5400-5662													1877-7252	1877-7260				DEC	2009	1	1					135	139		10.1007/s12686-009-9033-8	http://dx.doi.org/10.1007/s12686-009-9033-8													WOS:000207922400033
J	Dutton, DJ; Roberts, JH; Angermeier, PL; Hallerman, EM				Dutton, Daniel J.; Roberts, James H.; Angermeier, Paul L.; Hallerman, Eric M.			Microsatellite markers for the endangered Roanoke logperch, Percina rex (Percidae) and their potential utility for other darter species	MOLECULAR ECOLOGY RESOURCES																	Roberts, James/AAI-3283-2020	Roberts, James/0000-0002-2671-3207													1755-098X	1755-0998				JUL	2008	8	4					831	834		10.1111/j.1755-0998.2007.02082.x	http://dx.doi.org/10.1111/j.1755-0998.2007.02082.x								21585905					WOS:000257511600027
J	AEgisdottir, HH; Koller, B; Kuss, P; Stocklin, J				Aegisdottir, H. H.; Koller, B.; Kuss, P.; Stoecklin, J.			Development and characterization of microsatellite DNA markers for the Alpine plant species Campanula thyrsoides	MOLECULAR ECOLOGY NOTES																	Stöcklin, Jürg/F-5029-2012	Kuss, Patrick/0000-0002-0302-6658													1471-8278					NOV	2007	7	6					996	997		10.1111/j.1471-8286.2007.01751.x	http://dx.doi.org/10.1111/j.1471-8286.2007.01751.x													WOS:000250647700018
J	Chan, LM; Fitzgerald, LA; Zamudio, K				Chan, L. M.; Fitzgerald, L. A.; Zamudio, K.			Characterization of microsatellite markers for the endemic sand dune lizard, Sceloporus arenicolus	MOLECULAR ECOLOGY NOTES																	Fitzgerald, Lee A/I-5193-2013; Zamudio, Kelly/R-3533-2016	Zamudio, Kelly/0000-0001-5107-6206; Fitzgerald, Lee/0000-0001-5648-9480													1471-8278					MAR	2007	7	2					337	339		10.1111/j.1471-8286.2006.01600.x	http://dx.doi.org/10.1111/j.1471-8286.2006.01600.x													WOS:000244520600044
J	Islam, MS; Lian, CL; Kameyama, N; Wu, B; Hogetsu, T				Islam, MS; Lian, CL; Kameyama, N; Wu, B; Hogetsu, T			Development and characterization of ten new microsatellite markers in a mangrove tree species Bruguiera gymnorrhiza (L.)	MOLECULAR ECOLOGY NOTES																															1471-8278					MAR	2006	6	1					30	32		10.1111/j.1471-8286.2005.01127.x	http://dx.doi.org/10.1111/j.1471-8286.2005.01127.x													WOS:000235725600010
J	Itoh, Y; Mahmoud, HM				Itoh, Y; Mahmoud, HM			Age statistics in the Moran population model	STATISTICS & PROBABILITY LETTERS																		Mahmoud, Hosam/0000-0003-0962-9406													0167-7152	1879-2103				AUG 1	2005	74	1					21	30		10.1016/j.spl.2005.04.028	http://dx.doi.org/10.1016/j.spl.2005.04.028													WOS:000231029300003
J	Janica, J; Pepinski, W; Niemcunowicz-Janica, A; Skawronska, M; Aleksandrowicz-Bukin, M; Ptaszynska-Sarosiek, I; Koc-Zorawska, E				Janica, J; Pepinski, W; Niemcunowicz-Janica, A; Skawronska, M; Aleksandrowicz-Bukin, M; Ptaszynska-Sarosiek, I; Koc-Zorawska, E			Y-chromosome STR haplotypes and alleles in the ethnic group of Polish Tatars residing in the Northeastern Poland	FORENSIC SCIENCE INTERNATIONAL																	Skawrońska, Małgorzata/U-9251-2018; Niemcunowicz-Janica, Anna/ABH-1454-2021; Ptaszyńska-Sarosiek, Iwona/U-8649-2018; Koc-Zorawska, Ewa/U-9193-2018; Pepiński, Witold/U-9250-2018	Skawrońska, Małgorzata/0000-0002-1237-4240; Niemcunowicz-Janica, Anna/0000-0003-2807-8312; Ptaszyńska-Sarosiek, Iwona/0000-0002-7036-3419; Koc-Zorawska, Ewa/0000-0002-4606-219X; Pepiński, Witold/0000-0003-1244-2247													0379-0738	1872-6283				MAY 28	2005	150	1					91	95		10.1016/j.forsciint.2004.08.012	http://dx.doi.org/10.1016/j.forsciint.2004.08.012								15837013					WOS:000228874300010
C	Pepinski, W; Niemcunowicz-Janica, A; Skawronska, M; Janica, J; Koc-Zorawska, E; Soltyszewski, I		Doutremepuich, C; Morling, N		Pepinski, W; Niemcunowicz-Janica, A; Skawronska, M; Janica, J; Koc-Zorawska, E; Soltyszewski, I			Genetic data on 10 STRs in a population sample of Old Believers living in the northeastern Poland	PROGRESS IN FORENSIC GENETICS 10	INTERNATIONAL CONGRESS SERIES				20th International Congress of the International-Society-for-Forensic-Genetics	SEP 09-13, 2003	Arcachon, FRANCE	Int Soc Forens Genet									Pepiński, Witold/U-9250-2018; Koc-Zorawska, Ewa/U-9193-2018; Skawrońska, Małgorzata/U-9251-2018; Niemcunowicz-Janica, Anna/ABH-1454-2021	Pepiński, Witold/0000-0003-1244-2247; Koc-Zorawska, Ewa/0000-0002-4606-219X; Skawrońska, Małgorzata/0000-0002-1237-4240; Niemcunowicz-Janica, Anna/0000-0003-2807-8312; Soltyszewski, Ireneusz/0000-0003-1128-8129													0531-5131		0-444-51505-4				2004	1261						226	228		10.1016/S0531-5131(03)01506-1	http://dx.doi.org/10.1016/S0531-5131(03)01506-1													WOS:000223657000074
J	Mayor, MI; Sommer, JA; Huebinger, RM; Barber, RC; Louis, EE				Mayor, MI; Sommer, JA; Huebinger, RM; Barber, RC; Louis, EE			Characterization of seven microsatellite marker loci in a genus of Malagasy lemurs (Propithecus)	MOLECULAR ECOLOGY NOTES																															1471-8278					DEC	2002	2	4					385	388		10.1046/j.1471-8286.2002.00177.x	http://dx.doi.org/10.1046/j.1471-8286.2002.00177.x													WOS:000179678400001
J	Curtis, J; Minchella, DJ				Curtis, J; Minchella, DJ			Schistosome population genetic structure: When clumping worms is not just splitting hairs	PARASITOLOGY TODAY																															0169-4758					FEB	2000	16	2					68	71		10.1016/S0169-4758(99)01553-7	http://dx.doi.org/10.1016/S0169-4758(99)01553-7								10652491					WOS:000085005900008
J	Fang, J; Pan, YL				Fang, Jian; Pan, Yingli			NONMONOTONICITY OF TRAVELING WAVE PROFILES FOR A UNIMODAL RECURSIVE SYSTEM	SIAM JOURNAL ON MATHEMATICAL ANALYSIS																															0036-1410	1095-7154					2022	54	2					1669	1694		10.1137/21M139236X	http://dx.doi.org/10.1137/21M139236X													WOS:000797597300011
C	Orman, GV		Skiadas, CH; Dimotikalis, I; Skiadas, C		Orman, Gabriel V.			On a problem of approximation of Markov chains by a solution of a stochastic differential equation	CHAOS THEORY: MODELING, SIMULATION AND APPLICATIONS					3rd Chaotic Modeling and Simulation International Conference (CHAOS 2010)	JUN 01-04, 2010	Chania, GREECE																										978-981-4350-33-4				2011							30	40																WOS:000394395300004
C	Wu, YF		Mandoiu, I; Narasimhan, G; Zhang, Y		Wu, Yufeng			Exact Computation of Coalescent Likelihood under the Infinite Sites Model	BIOINFORMATICS RESEARCH AND APPLICATIONS: 5TH INTERNATIONAL SYMPOSIUM, ISBRA 2009	Lecture Notes in Bioinformatics				5th International Symposium on Bioinformatics Research and Applications	MAY 13-16, 2009	Nova SE Univ, Ft Lauderdale, FL		Nova SE Univ																						0302-9743	1611-3349	978-3-642-01550-2				2009	5542						209	220																WOS:000265784700021
J	An, HS; Han, SJ				An, HS; Han, SJ			Isolation and characterization of microsatellite DNA markers in the Pacific abalone, Haliotis discus hannai	MOLECULAR ECOLOGY NOTES																															1471-8278					MAR	2006	6	1					11	13		10.1111/j.1471-8286.2005.01041.x	http://dx.doi.org/10.1111/j.1471-8286.2005.01041.x													WOS:000235725600004
J	Orr, HA				Orr, HA			Theories of adaptation: what they do and don't say	GENETICA																															0016-6707					FEB	2005	123	1-2					3	13		10.1007/s10709-004-2702-3	http://dx.doi.org/10.1007/s10709-004-2702-3								15881676					WOS:000227550900002
C	Di Lonardo, AM; Cardozo, MBR; Colica, MV; Abovich, MA; Szocz, A; Echenique, C; Valente, S; Santapa, O		Doutremepuich, C; Morling, N		Di Lonardo, AM; Cardozo, MBR; Colica, MV; Abovich, MA; Szocz, A; Echenique, C; Valente, S; Santapa, O			Allele frequencies of 15 STR loci in Argentine population	PROGRESS IN FORENSIC GENETICS 10	INTERNATIONAL CONGRESS SERIES				20th International Congress of the International-Society-for-Forensic-Genetics	SEP 09-13, 2003	Arcachon, FRANCE	Int Soc Forens Genet																							0531-5131		0-444-51505-4				2004	1261						139	141		10.1016/S0531-5131(03)01616-9	http://dx.doi.org/10.1016/S0531-5131(03)01616-9													WOS:000223657000046
J	Sunnucks, P				Sunnucks, P			Efficient genetic markers for population biology	TRENDS IN ECOLOGY & EVOLUTION																		Sunnucks, Paul/0000-0002-8139-7059													0169-5347					MAY	2000	15	5					199	203		10.1016/S0169-5347(00)01825-5	http://dx.doi.org/10.1016/S0169-5347(00)01825-5								10782134					WOS:000086683700008
J	Turowska, B; Sanak, M				Turowska, B; Sanak, M			Frequency data on the loci vWA, FES/FPS, F13A01, TH01, TPOX and CSF1P0 in a population from South Poland	INTERNATIONAL JOURNAL OF LEGAL MEDICINE																	Sanak, Marek/A-2115-2008; Sanak, Marek/AAV-1628-2021	Sanak, Marek/0000-0001-7635-8103													0937-9827					FEB	2000	113	2					123	125		10.1007/s004140050014	http://dx.doi.org/10.1007/s004140050014								10741491					WOS:000085965800014
J	Hales, DF; Tomiuk, J; Wohrmann, K; Sunnucks, P				Hales, DF; Tomiuk, J; Wohrmann, K; Sunnucks, P			Evolutionary and genetic aspects of aphid biology: A review	EUROPEAN JOURNAL OF ENTOMOLOGY																		Sunnucks, Paul/0000-0002-8139-7059														1802-8829					1997	94	1					1	55																WOS:A1997WP49900001
J	Buchanan, FC; Friesen, MK; Littlejohn, RP; Clayton, JW				Buchanan, FC; Friesen, MK; Littlejohn, RP; Clayton, JW			Microsatellites from the beluga whale Delphinapterus leucas	MOLECULAR ECOLOGY																															0962-1083					AUG	1996	5	4					571	575											8794563					WOS:A1996VF47800010
J	Li, HS; Heckel, G; Huang, YH; Fan, WJ; Slipinski, A; Pang, H				Li, Hao-Sen; Heckel, Gerald; Huang, Yu-Hao; Fan, Wei-Jian; Slipinski, Adam; Pang, Hong			Genomic changes in the biological control agent Cryptolaemus montrouzieri associated with introduction	EVOLUTIONARY APPLICATIONS																	Slipinski, Adam/AAZ-2485-2020; Pang, Hong/AAL-7785-2020	Slipinski, Adam/0000-0002-1216-8068; Pang, Hong/0000-0002-0585-3577													1752-4571					JUN	2019	12	5					989	1000		10.1111/eva.12774	http://dx.doi.org/10.1111/eva.12774								31080510					WOS:000467300200010
J	Jacobsen, F; Omland, KE				Jacobsen, Frode; Omland, Kevin E.			Extensive introgressive hybridization within the northern oriole group (Genus Icterus) revealed by three-species isolation with migration analysis	ECOLOGY AND EVOLUTION																	Omland, Kevin E/A-8887-2010	Omland, Kevin E/0000-0002-3863-5509													2045-7758					OCT	2012	2	10					2413	2429		10.1002/ece3.365	http://dx.doi.org/10.1002/ece3.365								23145328					WOS:000312451300005
J	Bennett, AM; Keevil, M; Litzgus, JD				Bennett, Amanda M.; Keevil, Matthew; Litzgus, Jacqueline D.			Spatial Ecology and Population Genetics of Northern Map Turtles (Graptemys geographica) in Fragmented and Continuous Habitats in Canada	CHELONIAN CONSERVATION AND BIOLOGY																	Bennett, Amanda/O-5117-2019	Keevil, Matthew/0000-0003-4596-1879													1071-8443	1943-3956				DEC	2010	9	2					185	195		10.2744/CCB-0824.1	http://dx.doi.org/10.2744/CCB-0824.1													WOS:000285966500005
J	Pfeiler, E; Hurtado, LA; Knowles, LL; Torre-Cosio, J; Bourillon-Moreno, L; Marquez-Farias, JF; Montemayor-Lopez, G				Pfeiler, E; Hurtado, LA; Knowles, LL; Torre-Cosio, J; Bourillon-Moreno, L; Marquez-Farias, JF; Montemayor-Lopez, G			Population genetics of the swimming crab Callinectes bellicosus (Brachyura : Portunidae) from the eastern Pacific Ocean	MARINE BIOLOGY																	Hurtado, Luis A/B-5953-2008; Márquez-Farías, Dr. J. Fernando/GON-8569-2022	Hurtado, Luis A/0000-0002-9773-4996; Marquez-Farias, J. Fernando/0000-0001-7625-3440													0025-3162	1432-1793				FEB	2005	146	3					559	569		10.1007/s00227-004-1463-y	http://dx.doi.org/10.1007/s00227-004-1463-y													WOS:000226810300011
